coefficient_case,n,method,mode,repeat,order,seed,setup_seconds,solve_seconds,total_seconds,iterations,info,residual_norm,accepted,solution_sha256
checkerboard_c100,128,amg-pcg,count-only,1,0,200921,0.02488059998722747,0.025772100023459643,0.05065270001068711,17,0,2.276285186126513e-09,True,b9ace8d42da3f6b938deeb8a3a1af2a1ab8b1f1b7b254ab0b0f53f64e0817c9a
inclusion_c100,64,cg,count-only,1,1,200921,5.00003807246685e-07,0.022322800010442734,0.02232330001424998,796,0,6.111489849440583e-09,True,e1f6cc44710120e03a5a7206da00b7ff88e245dc109dab1c2998ea663f7ef3af
checkerboard_c100,64,amg-pcg,monitored,1,2,200921,0.008034600003156811,0.006453200010582805,0.014487800013739616,13,0,6.712892612161523e-09,True,6be5a892c9cafaf690b78fce37a4788ec019dbfa87f9e92ea9c829868899bb77
inclusion_c100,256,jacobi-pcg,count-only,1,3,200921,0.00032029999420046806,0.16951249999692664,0.1698327999911271,535,0,9.135833515243266e-09,True,90548a65052b15242b792b539d832a744f12f45b094f5506dfc824e3a27fb915
checkerboard_c100,256,amg-pcg,count-only,1,4,200921,0.07675780000863597,0.10030709998682141,0.17706489999545738,17,0,3.669492241526567e-09,True,5073836f9d59ede0c97032e459a36f6a62433aea913f6c3cb5c8402210610b1f
inclusion_c100,128,jacobi-pcg,monitored,1,5,200921,0.00026539998361840844,0.03586559998802841,0.036130999971646816,264,0,8.907044783456688e-09,True,b929877f4855c7ceea3cc6eea70690097c5752b4dc99e52d78d1bae84d1837af
inclusion_c100,64,jacobi-pcg,count-only,1,6,200921,0.00012069998774677515,0.004020899999886751,0.004141599987633526,129,0,8.751716809779867e-09,True,e2ee5f3552415541a37097a0624fc987623e4bba081258008cd7f2ef7baad8e7
checkerboard_c100,128,cg,monitored,1,7,200921,5.00003807246685e-07,0.1412987999501638,0.14129929995397106,1050,0,9.782864464391687e-09,True,84c561769da9f6b3fdaab130911b114e0dd94d482c92774463dd3cb7d50f8696
constant,64,cg,monitored,1,8,200921,3.00002284348011e-07,0.005598600022494793,0.005598900024779141,116,0,7.1195348044133394e-09,True,c0c186dd12b9986020bfdbabadf49bb40009aa5e74f132a8c9c9f99241bced47
constant,128,amg-pcg,count-only,1,9,200921,0.02110260003246367,0.014754000003449619,0.03585660003591329,10,0,9.305872570923029e-10,True,f20dcb0db95016bc5b17d770063f68d8bc1deacbae803a6caca9d237e447b61e
checkerboard_c100,256,amg-pcg,monitored,1,10,200921,0.09776299999793991,0.1393215000280179,0.23708450002595782,17,0,3.669492241526567e-09,True,5073836f9d59ede0c97032e459a36f6a62433aea913f6c3cb5c8402210610b1f
checkerboard_c100,64,jacobi-pcg,count-only,1,11,200921,0.00011630001245066524,0.005512300005648285,0.00562860001809895,171,0,8.56726025116485e-09,True,281028f86ce07d0af18d72207fbb32d28fb188bb2ee72474df1e863e6d5cfba8
constant,64,amg-pcg,monitored,1,12,200921,0.0077328000334091485,0.005007200001273304,0.012740000034682453,8,0,3.3131073273657237e-09,True,e27a0e0728b2e720d7a66bf1d15dadb03e69c1e95addbd5d0577608f6e847741
inclusion_c100,256,jacobi-pcg,monitored,1,13,200921,0.0003320000250823796,0.2993267999845557,0.29965880000963807,535,0,9.135833515243266e-09,True,90548a65052b15242b792b539d832a744f12f45b094f5506dfc824e3a27fb915
inclusion_c100,64,amg-pcg,count-only,1,14,200921,0.008798700000625104,0.00527299998793751,0.014071699988562614,10,0,2.181450296711766e-09,True,b8a3aa706531730c82ca047e2099755d5d8bb526b73ce1c1bcebfbb61464e5c9
checkerboard_c100,256,jacobi-pcg,monitored,1,15,200921,0.00045870000030845404,0.40817920002155006,0.4086379000218585,718,0,9.718794633448405e-09,True,a99ea91fc49f801a8ee88a81f30b4addfaa884ce806b45191e88c9bc5836a2c2
constant,64,jacobi-pcg,count-only,1,16,200921,0.00012939999578520656,0.0035571999615058303,0.003686599957291037,116,0,7.1195407181813896e-09,True,4cefd67782ebd94901a29834d2df1799372919f6498b2b63ff2d006d5ec0908d
checkerboard_c100,256,cg,monitored,1,17,200921,4.00003045797348e-07,1.1681932000210509,1.1681936000240967,2268,0,9.539337493402757e-09,True,3b659ef6136dc9e2825d50c9a169b3c6cc8a7974190c33e87aa52033c8d1b75b
inclusion_c100,128,amg-pcg,count-only,1,18,200921,0.01946400001179427,0.01837930001784116,0.03784330002963543,12,0,1.6535043681102705e-09,True,31370f8803c72d402a4e53386be77de29232da4726787a7b6345329ae1712a04
constant,64,cg,count-only,1,19,200921,2.00001522898674e-07,0.0035531999892555177,0.0035533999907784164,116,0,7.1195348044133394e-09,True,c0c186dd12b9986020bfdbabadf49bb40009aa5e74f132a8c9c9f99241bced47
checkerboard_c100,256,cg,count-only,1,20,200921,2.00001522898674e-07,0.6464442000142299,0.6464444000157528,2268,0,9.539337493402757e-09,True,3b659ef6136dc9e2825d50c9a169b3c6cc8a7974190c33e87aa52033c8d1b75b
constant,256,cg,count-only,1,21,200921,4.00003045797348e-07,0.13694050000049174,0.13694090000353754,466,0,9.709840683962918e-09,True,ec32a37a5ef3edb3e782a68e65d652eb4aea84614468e37faee4431f0ccef35d
constant,128,jacobi-pcg,monitored,1,22,200921,0.0002817999920807779,0.03203640005085617,0.03231820004293695,235,0,9.504054098938157e-09,True,f4ec07c5bd1f4382a4a01680ded95a64c68eb941cdfcc20d9061420ea474b93b
checkerboard_c100,128,jacobi-pcg,count-only,1,23,200921,0.00012640003114938736,0.02843479998409748,0.028561200015246868,350,0,9.663798804048138e-09,True,99fecc5386a0d58835fedc8683c03fdc1ad724c021ad1f233adb7a75f329cc3c
inclusion_c100,64,amg-pcg,monitored,1,24,200921,0.008698799996636808,0.005039100011344999,0.013737900007981807,10,0,2.181450296711766e-09,True,b8a3aa706531730c82ca047e2099755d5d8bb526b73ce1c1bcebfbb61464e5c9
constant,64,jacobi-pcg,monitored,1,25,200921,4.6799948904663324e-05,0.00561530003324151,0.005662099982146174,116,0,7.1195407181813896e-09,True,4cefd67782ebd94901a29834d2df1799372919f6498b2b63ff2d006d5ec0908d
constant,256,jacobi-pcg,count-only,1,26,200921,0.00029550003819167614,0.1520178999635391,0.15231340000173077,466,0,9.709647334825638e-09,True,0655f7f76977876468685585c09390380dc41c1c1b734baf37c9d59b3be2140c
checkerboard_c100,64,jacobi-pcg,monitored,1,27,200921,8.890003664419055e-05,0.008293299993965775,0.008382200030609965,171,0,8.56726025116485e-09,True,281028f86ce07d0af18d72207fbb32d28fb188bb2ee72474df1e863e6d5cfba8
inclusion_c100,64,cg,monitored,1,28,200921,5.00003807246685e-07,0.03647819999605417,0.03647869999986142,796,0,6.111489849440583e-09,True,e1f6cc44710120e03a5a7206da00b7ff88e245dc109dab1c2998ea663f7ef3af
constant,256,jacobi-pcg,monitored,1,29,200921,0.0002967000473290682,0.2605061000213027,0.26080280006863177,466,0,9.709647334825638e-09,True,0655f7f76977876468685585c09390380dc41c1c1b734baf37c9d59b3be2140c
checkerboard_c100,64,cg,count-only,1,30,200921,4.00003045797348e-07,0.025859399989712983,0.02585979999275878,443,0,8.53720063550755e-09,True,fba70ae44f6c8c24b4b9ae68254028c5fbe06e1ed5e1ed59d41b13a368962fe4
checkerboard_c100,64,cg,monitored,1,31,200921,5.00003807246685e-07,0.024020800017751753,0.024021300021559,443,0,8.53720063550755e-09,True,fba70ae44f6c8c24b4b9ae68254028c5fbe06e1ed5e1ed59d41b13a368962fe4
inclusion_c100,256,cg,count-only,1,32,200921,3.00002284348011e-07,1.2041820000158623,1.2041823000181466,4368,0,9.47474092771194e-09,True,3e314424b8fefbedee22622d84da40659140318f3b7bd1392fad611a493531f6
constant,256,cg,monitored,1,33,200921,3.00002284348011e-07,0.25149550003698096,0.2514958000392653,466,0,9.709840683962918e-09,True,ec32a37a5ef3edb3e782a68e65d652eb4aea84614468e37faee4431f0ccef35d
constant,256,amg-pcg,monitored,1,34,200921,0.0776723999879323,0.056298899988178164,0.13397129997611046,9,0,4.7768843813704664e-09,True,49ae54744f61eeb32a2ddce56de4553cdc95e24a4697e2dfdafd20731e2bc25c
checkerboard_c100,128,amg-pcg,monitored,1,35,200921,0.022227999987080693,0.027437500015366822,0.049665500002447516,17,0,2.276285186126513e-09,True,b9ace8d42da3f6b938deeb8a3a1af2a1ab8b1f1b7b254ab0b0f53f64e0817c9a
checkerboard_c100,256,jacobi-pcg,count-only,1,36,200921,0.0004779000300914049,0.22281379997730255,0.22329170000739396,718,0,9.718794633448405e-09,True,a99ea91fc49f801a8ee88a81f30b4addfaa884ce806b45191e88c9bc5836a2c2
inclusion_c100,256,amg-pcg,count-only,1,37,200921,0.08021290000760928,0.07191769999917597,0.15213060000678524,12,0,4.4407963946867694e-09,True,e6bf600b224ed612bc72c9afef0f1b1dfb7804801e0a79f7edd56de3e323f3fc
constant,128,cg,count-only,1,38,200921,3.00002284348011e-07,0.017357299977447838,0.017357599979732186,235,0,9.50409016582839e-09,True,088e7f40b2644cbdf8cb83f24a9d3bdc0757add1ef99d0b71ecd1443f5a4a39e
checkerboard_c100,128,cg,count-only,1,39,200921,3.00002284348011e-07,0.08161970000946894,0.08162000001175329,1050,0,9.782864464391687e-09,True,84c561769da9f6b3fdaab130911b114e0dd94d482c92774463dd3cb7d50f8696
constant,128,cg,monitored,1,40,200921,3.00002284348011e-07,0.030721599992830306,0.030721899995114654,235,0,9.50409016582839e-09,True,088e7f40b2644cbdf8cb83f24a9d3bdc0757add1ef99d0b71ecd1443f5a4a39e
checkerboard_c100,128,jacobi-pcg,monitored,1,41,200921,0.00015050004003569484,0.04795340000418946,0.048103900044225156,350,0,9.663798804048138e-09,True,99fecc5386a0d58835fedc8683c03fdc1ad724c021ad1f233adb7a75f329cc3c
checkerboard_c100,64,amg-pcg,count-only,1,42,200921,0.007459200045559555,0.006232399959117174,0.01369160000467673,13,0,6.712892612161523e-09,True,6be5a892c9cafaf690b78fce37a4788ec019dbfa87f9e92ea9c829868899bb77
constant,256,amg-pcg,count-only,1,43,200921,0.0843680000398308,0.054066000040620565,0.13843400008045137,9,0,4.7768843813704664e-09,True,49ae54744f61eeb32a2ddce56de4553cdc95e24a4697e2dfdafd20731e2bc25c
inclusion_c100,128,cg,monitored,1,44,200921,3.00002284348011e-07,0.25977840000996366,0.259778700012248,1957,0,9.159413513446195e-09,True,bca1848e521fc289b28a433008e24b94805651a12f1c4017f779d6e9558d0363
constant,128,amg-pcg,monitored,1,45,200921,0.021597999962978065,0.015727600024547428,0.03732559998752549,10,0,9.305872570923029e-10,True,f20dcb0db95016bc5b17d770063f68d8bc1deacbae803a6caca9d237e447b61e
inclusion_c100,128,jacobi-pcg,count-only,1,46,200921,0.00019160000374540687,0.02121380000608042,0.021405400009825826,264,0,8.907044783456688e-09,True,b929877f4855c7ceea3cc6eea70690097c5752b4dc99e52d78d1bae84d1837af
inclusion_c100,256,amg-pcg,monitored,1,47,200921,0.08068150002509356,0.07262160000391304,0.1533031000290066,12,0,4.4407963946867694e-09,True,e6bf600b224ed612bc72c9afef0f1b1dfb7804801e0a79f7edd56de3e323f3fc
inclusion_c100,64,jacobi-pcg,monitored,1,48,200921,0.00011859997175633907,0.006357400037813932,0.006476000009570271,129,0,8.751716809779867e-09,True,e2ee5f3552415541a37097a0624fc987623e4bba081258008cd7f2ef7baad8e7
inclusion_c100,256,cg,monitored,1,49,200921,2.00001522898674e-07,2.229894599993713,2.229894799995236,4368,0,9.47474092771194e-09,True,3e314424b8fefbedee22622d84da40659140318f3b7bd1392fad611a493531f6
inclusion_c100,128,amg-pcg,monitored,1,50,200921,0.02010980003979057,0.01829490001546219,0.03840470005525276,12,0,1.6535043681102705e-09,True,31370f8803c72d402a4e53386be77de29232da4726787a7b6345329ae1712a04
constant,64,amg-pcg,count-only,1,51,200921,0.008076499972958118,0.003913099993951619,0.011989599966909736,8,0,3.3131073273657237e-09,True,e27a0e0728b2e720d7a66bf1d15dadb03e69c1e95addbd5d0577608f6e847741
inclusion_c100,128,cg,count-only,1,52,200921,2.00001522898674e-07,0.14792279998073354,0.14792299998225644,1957,0,9.159413513446195e-09,True,bca1848e521fc289b28a433008e24b94805651a12f1c4017f779d6e9558d0363
constant,128,jacobi-pcg,count-only,1,53,200921,0.00013080000644549727,0.018863400036934763,0.01899420004338026,235,0,9.504054098938157e-09,True,f4ec07c5bd1f4382a4a01680ded95a64c68eb941cdfcc20d9061420ea474b93b
inclusion_c100,64,amg-pcg,monitored,2,0,200922,0.007285400002729148,0.005524699983652681,0.012810099986381829,10,0,2.1869989495386992e-09,True,ca1a15911f81c7c5c6f5130ad2ea3e40af98960e8acc8f1e672a87a5d56c0d05
inclusion_c100,128,amg-pcg,monitored,2,1,200922,0.020651500031817704,0.018473699979949743,0.03912520001176745,12,0,1.6522458736938867e-09,True,7c04665529ae47c7cb1e8ac0bd996ea0041719d437ee69685f43ef250e1bc900
constant,256,jacobi-pcg,monitored,2,2,200922,0.0005908999592065811,0.2614719000412151,0.2620628000004217,466,0,9.709647334825638e-09,True,0655f7f76977876468685585c09390380dc41c1c1b734baf37c9d59b3be2140c
checkerboard_c100,256,amg-pcg,monitored,2,3,200922,0.08590280002681538,0.10640510002849624,0.19230790005531162,17,0,3.6692706561934e-09,True,6bc5b20bde5040e0b7f88b14eb03cc26f8771ed5d643fbb39a8a0a69d8408105
inclusion_c100,64,cg,count-only,2,4,200922,2.00001522898674e-07,0.02281390002463013,0.022814100026153028,796,0,6.111489849440583e-09,True,e1f6cc44710120e03a5a7206da00b7ff88e245dc109dab1c2998ea663f7ef3af
inclusion_c100,128,jacobi-pcg,monitored,2,5,200922,0.0002280999906361103,0.03768180002225563,0.03790990001289174,264,0,8.907044783456688e-09,True,b929877f4855c7ceea3cc6eea70690097c5752b4dc99e52d78d1bae84d1837af
constant,256,amg-pcg,monitored,2,6,200922,0.07664850004948676,0.05457300000125542,0.13122150005074218,9,0,4.731149666559529e-09,True,b811e71b34239237de6e6eb1c703c40d2a105b5edbec2fedb5d424159f731c1b
inclusion_c100,128,amg-pcg,count-only,2,7,200922,0.021816099993884563,0.017827400006353855,0.03964350000023842,12,0,1.6522458736938867e-09,True,7c04665529ae47c7cb1e8ac0bd996ea0041719d437ee69685f43ef250e1bc900
inclusion_c100,64,jacobi-pcg,monitored,2,8,200922,0.00011900003300979733,0.006323100009467453,0.00644210004247725,129,0,8.751716809779867e-09,True,e2ee5f3552415541a37097a0624fc987623e4bba081258008cd7f2ef7baad8e7
checkerboard_c100,256,jacobi-pcg,count-only,2,9,200922,0.0006812000065110624,0.2236348000005819,0.22431600000709295,718,0,9.718794633448405e-09,True,a99ea91fc49f801a8ee88a81f30b4addfaa884ce806b45191e88c9bc5836a2c2
