coefficient_case,n,method,mode,repeat,order,seed,setup_seconds,solve_seconds,total_seconds,iterations,info,residual_norm,accepted,solution_sha256
inclusion_c100,128,cg,monitored,4,23,200924,3.00002284348011e-07,0.27743910002755,0.27743940002983436,1957,0,9.159413513446195e-09,True,bca1848e521fc289b28a433008e24b94805651a12f1c4017f779d6e9558d0363
constant,256,cg,count-only,4,24,200924,3.00002284348011e-07,0.15601209999294952,0.15601239999523386,466,0,9.709840683962918e-09,True,ec32a37a5ef3edb3e782a68e65d652eb4aea84614468e37faee4431f0ccef35d
checkerboard_c100,128,amg-pcg,count-only,4,25,200924,0.02339759998722002,0.026648900005966425,0.050046499993186444,17,0,2.2503562071567874e-09,True,06e78794931d3cf93c3e1af335bb37146bf05ba828fba7e4c04fd60a0a3eb854
constant,128,cg,count-only,4,26,200924,2.00001522898674e-07,0.018430299998726696,0.018430500000249594,235,0,9.50409016582839e-09,True,088e7f40b2644cbdf8cb83f24a9d3bdc0757add1ef99d0b71ecd1443f5a4a39e
constant,64,amg-pcg,count-only,4,27,200924,0.008737600001040846,0.004060300008859485,0.012797900009900331,8,0,3.348166899885619e-09,True,c0aab42d77cbe08f42fc1c42da565e4ca5b6df31462ce7b7688acb6de412fd15
checkerboard_c100,256,cg,monitored,4,28,200924,3.00002284348011e-07,1.278470799967181,1.2784710999694653,2268,0,9.539337493402757e-09,True,3b659ef6136dc9e2825d50c9a169b3c6cc8a7974190c33e87aa52033c8d1b75b
checkerboard_c100,256,jacobi-pcg,monitored,4,29,200924,0.0002655999851413071,0.4439502999885008,0.4442158999736421,718,0,9.718794633448405e-09,True,a99ea91fc49f801a8ee88a81f30b4addfaa884ce806b45191e88c9bc5836a2c2
constant,64,cg,count-only,4,30,200924,3.00002284348011e-07,0.005138999957125634,0.005139299959409982,116,0,7.1195348044133394e-09,True,c0c186dd12b9986020bfdbabadf49bb40009aa5e74f132a8c9c9f99241bced47
constant,64,amg-pcg,monitored,4,31,200924,0.010415299970190972,0.005071999970823526,0.015487299941014498,8,0,3.348166899885619e-09,True,c0aab42d77cbe08f42fc1c42da565e4ca5b6df31462ce7b7688acb6de412fd15
checkerboard_c100,64,cg,monitored,4,32,200924,3.00002284348011e-07,0.023982899961993098,0.023983199964277446,443,0,8.53720063550755e-09,True,fba70ae44f6c8c24b4b9ae68254028c5fbe06e1ed5e1ed59d41b13a368962fe4
inclusion_c100,64,amg-pcg,monitored,4,33,200924,0.010561299975961447,0.0068651000037789345,0.01742639997974038,10,0,2.1557785755435496e-09,True,c3dbaf4559ed17a79a16fe66ff6ebe76bf02111c0702b026c45345513f0a784a
checkerboard_c100,64,cg,count-only,4,34,200924,4.00003045797348e-07,0.01406780001707375,0.014068200020119548,443,0,8.53720063550755e-09,True,fba70ae44f6c8c24b4b9ae68254028c5fbe06e1ed5e1ed59d41b13a368962fe4
checkerboard_c100,256,amg-pcg,count-only,4,35,200924,0.10144419997232035,0.10453020001295954,0.2059743999852799,17,0,3.6685918857889993e-09,True,140b3a25479b097e76613d08af439fa2dd1392a9ea6b0a88485fbada38f13b9d
checkerboard_c100,64,jacobi-pcg,count-only,4,36,200924,0.00012799998512491584,0.005725399998482317,0.005853399983607233,171,0,8.56726025116485e-09,True,281028f86ce07d0af18d72207fbb32d28fb188bb2ee72474df1e863e6d5cfba8
inclusion_c100,128,jacobi-pcg,monitored,4,37,200924,0.00023369997506961226,0.03885620000073686,0.039089899975806475,264,0,8.907044783456688e-09,True,b929877f4855c7ceea3cc6eea70690097c5752b4dc99e52d78d1bae84d1837af
constant,128,jacobi-pcg,monitored,4,38,200924,0.00012989999959245324,0.03224269999191165,0.0323725999915041,235,0,9.504054098938157e-09,True,f4ec07c5bd1f4382a4a01680ded95a64c68eb941cdfcc20d9061420ea474b93b
inclusion_c100,256,cg,monitored,4,39,200924,3.00002284348011e-07,2.4130053999833763,2.4130056999856606,4368,0,9.47474092771194e-09,True,3e314424b8fefbedee22622d84da40659140318f3b7bd1392fad611a493531f6
inclusion_c100,64,amg-pcg,count-only,4,40,200924,0.008416099997702986,0.0056927999830804765,0.014108899980783463,10,0,2.1557785755435496e-09,True,c3dbaf4559ed17a79a16fe66ff6ebe76bf02111c0702b026c45345513f0a784a
constant,256,cg,monitored,4,41,200924,2.00001522898674e-07,0.28969710000092164,0.28969730000244454,466,0,9.709840683962918e-09,True,ec32a37a5ef3edb3e782a68e65d652eb4aea84614468e37faee4431f0ccef35d
inclusion_c100,64,cg,monitored,4,42,200924,3.00002284348011e-07,0.03799689997686073,0.03799719997914508,796,0,6.111489849440583e-09,True,e1f6cc44710120e03a5a7206da00b7ff88e245dc109dab1c2998ea663f7ef3af
constant,128,amg-pcg,monitored,4,43,200924,0.026466400013305247,0.016743099957238883,0.04320949997054413,9,0,9.995887587038513e-09,True,05c8fec009300eaf74012f0795c278d07cb99208cb42b47801be11dc7522bd5c
inclusion_c100,256,jacobi-pcg,count-only,4,44,200924,0.0006098000449128449,0.21534130000509322,0.21595110005000606,535,0,9.135833515243266e-09,True,90548a65052b15242b792b539d832a744f12f45b094f5506dfc824e3a27fb915
inclusion_c100,256,jacobi-pcg,monitored,4,45,200924,0.0006160999764688313,0.3115865999716334,0.31220269994810224,535,0,9.135833515243266e-09,True,90548a65052b15242b792b539d832a744f12f45b094f5506dfc824e3a27fb915
inclusion_c100,256,amg-pcg,count-only,4,46,200924,0.07303119997959584,0.07100910000735894,0.14404029998695478,12,0,4.446509909327973e-09,True,2d6c56e6f17bf42c079133f242c9bcd62bfe63b6e124a167e1cd1b4b460a0901
inclusion_c100,128,amg-pcg,count-only,4,47,200924,0.025275600026361644,0.018029099970590323,0.04330469999695197,12,0,1.6463157154167286e-09,True,2f80d755b8d713e82f3d54769cc27ff46b59f99c8d088306824eece61a8d3fe1
inclusion_c100,64,jacobi-pcg,count-only,4,48,200924,0.0001134999911300838,0.003984200011473149,0.004097700002603233,129,0,8.751716809779867e-09,True,e2ee5f3552415541a37097a0624fc987623e4bba081258008cd7f2ef7baad8e7
checkerboard_c100,64,amg-pcg,monitored,4,49,200924,0.008108299982268363,0.006521500006783754,0.014629799989052117,13,0,6.720252493554247e-09,True,2ea8c6a9bc61310ada83e433198f9c90f0a42c1c66556e84b48a7e7f46011e82
inclusion_c100,128,amg-pcg,monitored,4,50,200924,0.02292200003284961,0.021400699974037707,0.04432270000688732,12,0,1.6463157154167286e-09,True,2f80d755b8d713e82f3d54769cc27ff46b59f99c8d088306824eece61a8d3fe1
constant,256,jacobi-pcg,count-only,4,51,200924,0.0005435000057332218,0.15855609998106956,0.1590995999868028,466,0,9.709647334825638e-09,True,0655f7f76977876468685585c09390380dc41c1c1b734baf37c9d59b3be2140c
checkerboard_c100,256,cg,count-only,4,52,200924,2.00001522898674e-07,0.7189891000161879,0.7189893000177108,2268,0,9.539337493402757e-09,True,3b659ef6136dc9e2825d50c9a169b3c6cc8a7974190c33e87aa52033c8d1b75b
inclusion_c100,128,jacobi-pcg,count-only,4,53,200924,0.0002533000078983605,0.022085100004915148,0.02233840001281351,264,0,8.907044783456688e-09,True,b929877f4855c7ceea3cc6eea70690097c5752b4dc99e52d78d1bae84d1837af
constant,128,jacobi-pcg,monitored,5,0,200925,0.0001537000061944127,0.035648199962452054,0.03580189996864647,235,0,9.504054098938157e-09,True,f4ec07c5bd1f4382a4a01680ded95a64c68eb941cdfcc20d9061420ea474b93b
checkerboard_c100,64,amg-pcg,monitored,5,1,200925,0.007671099971048534,0.006445300008635968,0.014116399979684502,13,0,6.714293042578294e-09,True,bab97e692af3daa3495ba1246e76157fbd9c1ae70eb84c8631df293cb77314ce
checkerboard_c100,64,cg,monitored,5,2,200925,2.00001522898674e-07,0.021018400031607598,0.021018600033130497,443,0,8.53720063550755e-09,True,fba70ae44f6c8c24b4b9ae68254028c5fbe06e1ed5e1ed59d41b13a368962fe4
checkerboard_c100,256,cg,monitored,5,3,200925,5.00003807246685e-07,1.3049531999859028,1.30495369998971,2268,0,9.539337493402757e-09,True,3b659ef6136dc9e2825d50c9a169b3c6cc8a7974190c33e87aa52033c8d1b75b
constant,128,cg,monitored,5,4,200925,3.00002284348011e-07,0.031224399979691952,0.0312246999819763,235,0,9.50409016582839e-09,True,088e7f40b2644cbdf8cb83f24a9d3bdc0757add1ef99d0b71ecd1443f5a4a39e
constant,64,amg-pcg,count-only,5,5,200925,0.0072663999744690955,0.004108199966140091,0.011374599940609187,8,0,3.299475037531212e-09,True,f565a396535b429c36c446cf0ece94bdc01141e21a3c5f0048c50c883a2b0246
constant,256,cg,monitored,5,6,200925,2.00001522898674e-07,0.2810435999999754,0.2810438000014983,466,0,9.709840683962918e-09,True,ec32a37a5ef3edb3e782a68e65d652eb4aea84614468e37faee4431f0ccef35d
checkerboard_c100,64,jacobi-pcg,count-only,5,7,200925,9.899999713525176e-05,0.005359600007068366,0.005458600004203618,171,0,8.56726025116485e-09,True,281028f86ce07d0af18d72207fbb32d28fb188bb2ee72474df1e863e6d5cfba8
inclusion_c100,64,cg,count-only,5,8,200925,4.00003045797348e-07,0.02262110001174733,0.022621500014793128,796,0,6.111489849440583e-09,True,e1f6cc44710120e03a5a7206da00b7ff88e245dc109dab1c2998ea663f7ef3af
checkerboard_c100,128,cg,count-only,5,9,200925,4.00003045797348e-07,0.08530100004281849,0.08530140004586428,1050,0,9.782864464391687e-09,True,84c561769da9f6b3fdaab130911b114e0dd94d482c92774463dd3cb7d50f8696
inclusion_c100,64,amg-pcg,count-only,5,10,200925,0.00747469998896122,0.00519890000578016,0.01267359999474138,10,0,2.145218067159977e-09,True,10f2b280b274f2929f93a4111b2ad89264182924e8137d7f03008f24a830074a
inclusion_c100,256,amg-pcg,count-only,5,11,200925,0.0765489999903366,0.07379629998467863,0.15034529997501522,12,0,4.361194564496849e-09,True,764e1b5a6ab907262a1352a87839630c054868e927056e9534ecb36ddbe99ce9
constant,64,amg-pcg,monitored,5,12,200925,0.008522299991454929,0.004308000032324344,0.012830300023779273,8,0,3.299475037531212e-09,True,f565a396535b429c36c446cf0ece94bdc01141e21a3c5f0048c50c883a2b0246
checkerboard_c100,128,amg-pcg,count-only,5,13,200925,0.02157809998607263,0.026133199979085475,0.047711299965158105,17,0,2.2680266681022793e-09,True,4525a97ce7cdf01f150cc6a7fd17ebf0798fe56b8bedbdefaf3f5bd0c56fbc24
checkerboard_c100,256,cg,count-only,5,14,200925,2.00001522898674e-07,0.727813099976629,0.7278132999781519,2268,0,9.539337493402757e-09,True,3b659ef6136dc9e2825d50c9a169b3c6cc8a7974190c33e87aa52033c8d1b75b
inclusion_c100,128,amg-pcg,count-only,5,15,200925,0.021497600013390183,0.018270200002007186,0.03976780001539737,12,0,1.6507247435964457e-09,True,0290d2f22420190560814b84789034b42f98c7ab0b3a99374e7caa6407883669
checkerboard_c100,128,jacobi-pcg,monitored,5,16,200925,0.00019649998284876347,0.05327249999390915,0.053468999976757914,350,0,9.663798804048138e-09,True,99fecc5386a0d58835fedc8683c03fdc1ad724c021ad1f233adb7a75f329cc3c
checkerboard_c100,64,amg-pcg,count-only,5,17,200925,0.007732699974440038,0.006360700004734099,0.014093399979174137,13,0,6.714293042578294e-09,True,bab97e692af3daa3495ba1246e76157fbd9c1ae70eb84c8631df293cb77314ce
inclusion_c100,256,jacobi-pcg,monitored,5,18,200925,0.0005019999807700515,0.4188025000039488,0.41930449998471886,535,0,9.135833515243266e-09,True,90548a65052b15242b792b539d832a744f12f45b094f5506dfc824e3a27fb915
inclusion_c100,128,jacobi-pcg,count-only,5,19,200925,0.0003937000292353332,0.02675630000885576,0.027150000038091093,264,0,8.907044783456688e-09,True,b929877f4855c7ceea3cc6eea70690097c5752b4dc99e52d78d1bae84d1837af
checkerboard_c100,128,amg-pcg,monitored,5,20,200925,0.0236867000348866,0.03144389996305108,0.05513059999793768,17,0,2.2680266681022793e-09,True,4525a97ce7cdf01f150cc6a7fd17ebf0798fe56b8bedbdefaf3f5bd0c56fbc24
inclusion_c100,128,cg,monitored,5,21,200925,3.00002284348011e-07,0.27777489996515214,0.2777751999674365,1957,0,9.159413513446195e-09,True,bca1848e521fc289b28a433008e24b94805651a12f1c4017f779d6e9558d0363
constant,256,amg-pcg,count-only,5,22,200925,0.09491530002560467,0.05724130000453442,0.1521566000301391,9,0,4.762274716566909e-09,True,5caacc877070568392abd899909a36202b8efc109b591ebd48b652e88341a929
inclusion_c100,256,cg,monitored,5,23,200925,3.00002284348011e-07,2.505315599963069,2.5053158999653533,4368,0,9.47474092771194e-09,True,3e314424b8fefbedee22622d84da40659140318f3b7bd1392fad611a493531f6
checkerboard_c100,128,cg,monitored,5,24,200925,3.00002284348011e-07,0.15152020001551136,0.1515205000177957,1050,0,9.782864464391687e-09,True,84c561769da9f6b3fdaab130911b114e0dd94d482c92774463dd3cb7d50f8696
checkerboard_c100,64,jacobi-pcg,monitored,5,25,200925,0.00011530000483617187,0.008571699960157275,0.008686999964993447,171,0,8.56726025116485e-09,True,281028f86ce07d0af18d72207fbb32d28fb188bb2ee72474df1e863e6d5cfba8
checkerboard_c100,256,amg-pcg,monitored,5,26,200925,0.08951779996277764,0.1063655000180006,0.19588329998077825,17,0,3.6674871657672462e-09,True,a042cd3daa7cd6ad94e3fe0633a247dc7ac0c16930258e3746346b0b324a67a4
inclusion_c100,64,jacobi-pcg,count-only,5,27,200925,0.00011690001701936126,0.004073899996001273,0.004190800013020635,129,0,8.751716809779867e-09,True,e2ee5f3552415541a37097a0624fc987623e4bba081258008cd7f2ef7baad8e7
constant,256,jacobi-pcg,monitored,5,28,200925,0.0004822000046260655,0.2920492999837734,0.29253149998839945,466,0,9.709647334825638e-09,True,0655f7f76977876468685585c09390380dc41c1c1b734baf37c9d59b3be2140c
inclusion_c100,256,amg-pcg,monitored,5,29,200925,0.09139180002966896,0.07596699998248369,0.16735880001215264,12,0,4.361194564496849e-09,True,764e1b5a6ab907262a1352a87839630c054868e927056e9534ecb36ddbe99ce9
checkerboard_c100,256,amg-pcg,count-only,5,30,200925,0.08771669998532161,0.10401740000816062,0.19173409999348223,17,0,3.6674871657672462e-09,True,a042cd3daa7cd6ad94e3fe0633a247dc7ac0c16930258e3746346b0b324a67a4
inclusion_c100,256,jacobi-pcg,count-only,5,31,200925,0.000756499997805804,0.1896855999948457,0.1904420999926515,535,0,9.135833515243266e-09,True,90548a65052b15242b792b539d832a744f12f45b094f5506dfc824e3a27fb915
constant,128,amg-pcg,monitored,5,32,200925,0.021648199995979667,0.015950599976349622,0.03759879997232929,10,0,9.211287564459724e-10,True,e81ede1547528b77be5e525518c4b85283650dbed4e9a5eaed298d5da0e6cd7f
constant,128,amg-pcg,count-only,5,33,200925,0.021824800001922995,0.015280599996913224,0.03710539999883622,10,0,9.211287564459724e-10,True,e81ede1547528b77be5e525518c4b85283650dbed4e9a5eaed298d5da0e6cd7f
constant,64,cg,monitored,5,34,200925,3.00002284348011e-07,0.005635100009385496,0.005635400011669844,116,0,7.1195348044133394e-09,True,c0c186dd12b9986020bfdbabadf49bb40009aa5e74f132a8c9c9f99241bced47
constant,64,jacobi-pcg,count-only,5,35,200925,6.629998097196221e-05,0.0036155999987386167,0.003681899979710579,116,0,7.1195407181813896e-09,True,4cefd67782ebd94901a29834d2df1799372919f6498b2b63ff2d006d5ec0908d
inclusion_c100,128,amg-pcg,monitored,5,36,200925,0.023744599951896816,0.01932630001101643,0.043070899962913245,12,0,1.6507247435964457e-09,True,0290d2f22420190560814b84789034b42f98c7ab0b3a99374e7caa6407883669
inclusion_c100,64,cg,monitored,5,37,200925,3.00002284348011e-07,0.039935900014825165,0.03993620001710951,796,0,6.111489849440583e-09,True,e1f6cc44710120e03a5a7206da00b7ff88e245dc109dab1c2998ea663f7ef3af
inclusion_c100,64,jacobi-pcg,monitored,5,38,200925,8.03999719209969e-05,0.006586400035303086,0.006666800007224083,129,0,8.751716809779867e-09,True,e2ee5f3552415541a37097a0624fc987623e4bba081258008cd7f2ef7baad8e7
inclusion_c100,64,amg-pcg,monitored,5,39,200925,0.00831040000775829,0.005162100016605109,0.013472500024363399,10,0,2.145218067159977e-09,True,10f2b280b274f2929f93a4111b2ad89264182924e8137d7f03008f24a830074a
inclusion_c100,128,jacobi-pcg,monitored,5,40,200925,0.0001126999850384891,0.042309599986765534,0.04242229997180402,264,0,8.907044783456688e-09,True,b929877f4855c7ceea3cc6eea70690097c5752b4dc99e52d78d1bae84d1837af
constant,256,jacobi-pcg,count-only,5,41,200925,0.0006051000091247261,0.20273099996848032,0.20333609997760504,466,0,9.709647334825638e-09,True,0655f7f76977876468685585c09390380dc41c1c1b734baf37c9d59b3be2140c
checkerboard_c100,128,jacobi-pcg,count-only,5,42,200925,0.0001710999640636146,0.034692600020207465,0.03486369998427108,350,0,9.663798804048138e-09,True,99fecc5386a0d58835fedc8683c03fdc1ad724c021ad1f233adb7a75f329cc3c
inclusion_c100,128,cg,count-only,5,43,200925,2.9994407668709755e-07,0.16897870000684634,0.16897899995092303,1957,0,9.159413513446195e-09,True,bca1848e521fc289b28a433008e24b94805651a12f1c4017f779d6e9558d0363
constant,128,cg,count-only,5,44,200925,4.00003045797348e-07,0.01941330003319308,0.01941370003623888,235,0,9.50409016582839e-09,True,088e7f40b2644cbdf8cb83f24a9d3bdc0757add1ef99d0b71ecd1443f5a4a39e
constant,64,jacobi-pcg,monitored,5,45,200925,9.059999138116837e-05,0.0057975000236183405,0.005888100014999509,116,0,7.1195407181813896e-09,True,4cefd67782ebd94901a29834d2df1799372919f6498b2b63ff2d006d5ec0908d
constant,128,jacobi-pcg,count-only,5,46,200925,0.00013260002015158534,0.020908000005874783,0.021040600026026368,235,0,9.504054098938157e-09,True,f4ec07c5bd1f4382a4a01680ded95a64c68eb941cdfcc20d9061420ea474b93b
inclusion_c100,256,cg,count-only,5,47,200925,4.00003045797348e-07,1.7963405000045896,1.7963409000076354,4368,0,9.47474092771194e-09,True,3e314424b8fefbedee22622d84da40659140318f3b7bd1392fad611a493531f6
checkerboard_c100,64,cg,count-only,5,48,200925,4.00003045797348e-07,0.013628099986817688,0.013628499989863485,443,0,8.53720063550755e-09,True,fba70ae44f6c8c24b4b9ae68254028c5fbe06e1ed5e1ed59d41b13a368962fe4
checkerboard_c100,256,jacobi-pcg,monitored,5,49,200925,0.0003774000215344131,0.5277532999753021,0.5281306999968365,718,0,9.718794633448405e-09,True,a99ea91fc49f801a8ee88a81f30b4addfaa884ce806b45191e88c9bc5836a2c2
constant,256,cg,count-only,5,50,200925,6.00004568696022e-07,0.1590474999975413,0.15904810000211,466,0,9.709840683962918e-09,True,ec32a37a5ef3edb3e782a68e65d652eb4aea84614468e37faee4431f0ccef35d
checkerboard_c100,256,jacobi-pcg,count-only,5,51,200925,0.0003659999929368496,0.3412141000153497,0.34158010000828654,718,0,9.718794633448405e-09,True,a99ea91fc49f801a8ee88a81f30b4addfaa884ce806b45191e88c9bc5836a2c2
constant,256,amg-pcg,monitored,5,52,200925,0.11327349999919534,0.0769521000329405,0.19022560003213584,9,0,4.762274716566909e-09,True,5caacc877070568392abd899909a36202b8efc109b591ebd48b652e88341a929
constant,64,cg,count-only,5,53,200925,3.00002284348011e-07,0.005336899950634688,0.005337199952919036,116,0,7.1195348044133394e-09,True,c0c186dd12b9986020bfdbabadf49bb40009aa5e74f132a8c9c9f99241bced47
inclusion_c100,128,cg,monitored,6,0,200926,6.00004568696022e-07,0.44497579999733716,0.44497640000190586,1957,0,9.159413513446195e-09,True,bca1848e521fc289b28a433008e24b94805651a12f1c4017f779d6e9558d0363
inclusion_c100,128,jacobi-pcg,monitored,6,1,200926,0.00024590000975877047,0.06590750004397705,0.06615340005373582,264,0,8.907044783456688e-09,True,b929877f4855c7ceea3cc6eea70690097c5752b4dc99e52d78d1bae84d1837af
checkerboard_c100,128,jacobi-pcg,monitored,6,2,200926,0.00015540001913905144,0.08291950001148507,0.08307490003062412,350,0,9.663798804048138e-09,True,99fecc5386a0d58835fedc8683c03fdc1ad724c021ad1f233adb7a75f329cc3c
constant,64,cg,count-only,6,3,200926,4.00003045797348e-07,0.00603460002457723,0.0060350000276230276,116,0,7.1195348044133394e-09,True,c0c186dd12b9986020bfdbabadf49bb40009aa5e74f132a8c9c9f99241bced47
checkerboard_c100,256,cg,count-only,6,4,200926,4.00003045797348e-07,2.69554500002414,2.6955454000271857,2268,0,9.539337493402757e-09,True,3b659ef6136dc9e2825d50c9a169b3c6cc8a7974190c33e87aa52033c8d1b75b
constant,128,cg,count-only,6,5,200926,6.999471224844456e-07,0.07895160000771284,0.07895229995483533,235,0,9.50409016582839e-09,True,088e7f40b2644cbdf8cb83f24a9d3bdc0757add1ef99d0b71ecd1443f5a4a39e
constant,256,cg,monitored,6,6,200926,8.00006091594696e-07,0.8565917999949306,0.8565926000010222,466,0,9.709840683962918e-09,True,ec32a37a5ef3edb3e782a68e65d652eb4aea84614468e37faee4431f0ccef35d
constant,256,amg-pcg,count-only,6,7,200926,0.2549190999707207,0.17714189999969676,0.43206099997041747,9,0,4.766740687134079e-09,True,112d28d61997940e8fde5b0d6967dce86810cebcfdcd90077ff5303e7c7437a9
inclusion_c100,64,amg-pcg,count-only,6,8,200926,0.027967700036242604,0.027060599997639656,0.05502830003388226,10,0,2.160467134479591e-09,True,e9650599a375a9f30c4d6f103d7fda047b5f8d90ef8cae63d0b7585a28b4bd4f
checkerboard_c100,256,amg-pcg,count-only,6,9,200926,0.24416519998339936,0.2787413999903947,0.5229065999737941,17,0,3.6699086492399478e-09,True,e9354b5b17fea69ae63de7308c1b6f6d53b375c1e115f3ea5d0c9216b9f6e887
constant,256,cg,count-only,6,10,200926,6.00004568696022e-07,0.4512974999961443,0.451298100000713,466,0,9.709840683962918e-09,True,ec32a37a5ef3edb3e782a68e65d652eb4aea84614468e37faee4431f0ccef35d
inclusion_c100,64,cg,count-only,6,11,200926,8.00006091594696e-07,0.09544129995629191,0.09544209996238351,796,0,6.111489849440583e-09,True,e1f6cc44710120e03a5a7206da00b7ff88e245dc109dab1c2998ea663f7ef3af
checkerboard_c100,64,jacobi-pcg,count-only,6,12,200926,0.0004026999813504517,0.02039119997061789,0.020793899951968342,171,0,8.56726025116485e-09,True,281028f86ce07d0af18d72207fbb32d28fb188bb2ee72474df1e863e6d5cfba8
constant,128,amg-pcg,count-only,6,13,200926,0.07039680000161752,0.054160800005774945,0.12455760000739247,10,0,9.206110560161594e-10,True,3e737eaa18c4c69c1d5d206255bce55583147f3a6a3359f13be79f9a2b189ea4
inclusion_c100,64,jacobi-pcg,monitored,6,14,200926,0.0003591999993659556,0.023010400007478893,0.02336960000684485,129,0,8.751716809779867e-09,True,e2ee5f3552415541a37097a0624fc987623e4bba081258008cd7f2ef7baad8e7
checkerboard_c100,128,cg,count-only,6,15,200926,7.00005330145359e-07,0.3130251999828033,0.31302589998813346,1050,0,9.782864464391687e-09,True,84c561769da9f6b3fdaab130911b114e0dd94d482c92774463dd3cb7d50f8696
constant,128,cg,monitored,6,16,200926,7.00005330145359e-07,0.11069629999110475,0.1106969999964349,235,0,9.50409016582839e-09,True,088e7f40b2644cbdf8cb83f24a9d3bdc0757add1ef99d0b71ecd1443f5a4a39e
constant,64,amg-pcg,monitored,6,17,200926,0.028382700053043664,0.015299500024411827,0.04368220007745549,8,0,3.313997454078353e-09,True,ae2684379b8913f514f3c36bdbfc13a5375280ead730379021d9ee8e02bcae96
checkerboard_c100,256,jacobi-pcg,count-only,6,18,200926,0.0010788000072352588,1.1575993000296876,1.1586781000369228,718,0,9.718794633448405e-09,True,a99ea91fc49f801a8ee88a81f30b4addfaa884ce806b45191e88c9bc5836a2c2
checkerboard_c100,64,cg,count-only,6,19,200926,1.3999524526298046e-06,0.09275349997915328,0.0927548999316059,443,0,8.53720063550755e-09,True,fba70ae44f6c8c24b4b9ae68254028c5fbe06e1ed5e1ed59d41b13a368962fe4
inclusion_c100,256,jacobi-pcg,monitored,6,20,200926,0.0008763999794609845,1.8249668999924324,1.8258432999718934,535,0,9.135833515243266e-09,True,90548a65052b15242b792b539d832a744f12f45b094f5506dfc824e3a27fb915
checkerboard_c100,64,jacobi-pcg,monitored,6,21,200926,0.0003695000195875764,0.06041340000228956,0.06078290002187714,171,0,8.56726025116485e-09,True,281028f86ce07d0af18d72207fbb32d28fb188bb2ee72474df1e863e6d5cfba8
checkerboard_c100,256,amg-pcg,monitored,6,22,200926,0.3471441000001505,0.3912885999889113,0.7384326999890618,17,0,3.6699086492399478e-09,True,e9354b5b17fea69ae63de7308c1b6f6d53b375c1e115f3ea5d0c9216b9f6e887
checkerboard_c100,256,cg,monitored,6,23,200926,8.00006091594696e-07,4.414264799968805,4.414265599974897,2268,0,9.539337493402757e-09,True,3b659ef6136dc9e2825d50c9a169b3c6cc8a7974190c33e87aa52033c8d1b75b
checkerboard_c100,128,amg-pcg,monitored,6,24,200926,0.06831689999671653,0.14239789999555796,0.2107147999922745,17,0,2.2734565779232127e-09,True,3ef707d417957275c01d96cc12a8c912a50fa935c12843568ff8aaef9fb31fae
constant,256,jacobi-pcg,count-only,6,25,200926,0.0016753000090830028,0.5155441000242718,0.5172194000333548,466,0,9.709647334825638e-09,True,0655f7f76977876468685585c09390380dc41c1c1b734baf37c9d59b3be2140c
checkerboard_c100,64,cg,monitored,6,26,200926,1.1999509297311306e-06,0.07203059998573735,0.07203179993666708,443,0,8.53720063550755e-09,True,fba70ae44f6c8c24b4b9ae68254028c5fbe06e1ed5e1ed59d41b13a368962fe4
constant,128,jacobi-pcg,monitored,6,27,200926,0.00048210000386461616,0.14137239998672158,0.1418544999905862,235,0,9.504054098938157e-09,True,f4ec07c5bd1f4382a4a01680ded95a64c68eb941cdfcc20d9061420ea474b93b
inclusion_c100,256,amg-pcg,monitored,6,28,200926,0.25631510000675917,0.28575460001593456,0.5420697000226937,12,0,4.4467469073935045e-09,True,a1ff7fa9b300c2d7a2f8d98f86a18f2068face5e2ff96f0c5b03c47dc6d1b314
constant,64,jacobi-pcg,monitored,6,29,200926,0.0002720999764278531,0.029216399998404086,0.02948849997483194,116,0,7.1195407181813896e-09,True,4cefd67782ebd94901a29834d2df1799372919f6498b2b63ff2d006d5ec0908d
inclusion_c100,256,jacobi-pcg,count-only,6,30,200926,0.001367799995932728,0.6070080999634229,0.6083758999593556,535,0,9.135833515243266e-09,True,90548a65052b15242b792b539d832a744f12f45b094f5506dfc824e3a27fb915
checkerboard_c100,128,jacobi-pcg,count-only,6,31,200926,0.0005022000405006111,0.10720690002199262,0.10770910006249323,350,0,9.663798804048138e-09,True,99fecc5386a0d58835fedc8683c03fdc1ad724c021ad1f233adb7a75f329cc3c
checkerboard_c100,64,amg-pcg,count-only,6,32,200926,0.027505300007760525,0.02092779998201877,0.048433099989779294,13,0,6.71803140078831e-09,True,d308c303f0bb23be6d75724d95f9158b695a5f0fc05f26075b1f02c073b2731c
inclusion_c100,128,cg,count-only,6,33,200926,6.00004568696022e-07,0.534525599970948,0.5345261999755166,1957,0,9.159413513446195e-09,True,bca1848e521fc289b28a433008e24b94805651a12f1c4017f779d6e9558d0363
inclusion_c100,64,jacobi-pcg,count-only,6,34,200926,0.00017010001465678215,0.014006500015966594,0.014176600030623376,129,0,8.751716809779867e-09,True,e2ee5f3552415541a37097a0624fc987623e4bba081258008cd7f2ef7baad8e7
inclusion_c100,256,cg,monitored,6,35,200926,8.00006091594696e-07,12.261478699976578,12.26147949998267,4368,0,9.47474092771194e-09,True,3e314424b8fefbedee22622d84da40659140318f3b7bd1392fad611a493531f6
inclusion_c100,128,jacobi-pcg,count-only,6,36,200926,0.0003233000170439482,0.1143642999813892,0.11468759999843314,264,0,8.907044783456688e-09,True,b929877f4855c7ceea3cc6eea70690097c5752b4dc99e52d78d1bae84d1837af
