coefficient_case,family,contrast_target,contrast_observed,grad_logk_inf,total_variation_proxy,n,n_unknowns,method,tolerance,converged,iterations,setup_seconds,solve_seconds,total_seconds,residual_norm,memory_estimate_mb,best_method,is_best,speedup_vs_cg
smooth_c10,smooth,10.0,9.998122046006907,8.938091736066426,4.166834019488497,256,64516,jacobi-pcg,1e-08,True,605,0.0003483999753370881,0.8487785999896005,0.8491269999649376,9.472925740295916e-09,5.402774810791016,amg-pcg,False,1.384232158475209
smooth_c10,smooth,10.0,9.998122046006907,8.938091736066426,4.166834019488497,256,64516,amg-pcg,1e-08,True,9,0.18145729997195303,0.08571760007180274,0.26717490004375577,4.600193241793183e-09,5.402774810791016,amg-pcg,True,4.399323812935079
smooth_c30,smooth,30.0,29.723113434605743,16.411269260375754,4.761912354840547,64,3844,cg,1e-08,True,242,7.00005330145359e-07,0.01837940001860261,0.018380100023932755,8.529053092533215e-09,0.3197669982910156,jacobi-pcg,False,1.0
smooth_c30,smooth,30.0,29.723113434605743,16.411269260375754,4.761912354840547,64,3844,jacobi-pcg,1e-08,True,147,0.00013499998021870852,0.009080999996513128,0.009215999976731837,8.232383469084395e-09,0.3197669982910156,jacobi-pcg,True,1.9943684972154998
smooth_c30,smooth,30.0,29.723113434605743,16.411269260375754,4.761912354840547,64,3844,amg-pcg,1e-08,True,8,0.012791099958121777,0.005706600029952824,0.0184976999880746,5.183273357048391e-09,0.3197669982910156,jacobi-pcg,False,0.9936424547799099
smooth_c30,smooth,30.0,29.931391547005088,16.576202833556504,4.763772876868876,128,15876,cg,1e-08,True,511,5.00003807246685e-07,0.4382630999898538,0.43826359999366105,9.408092132259827e-09,1.3266029357910156,amg-pcg,False,1.0
smooth_c30,smooth,30.0,29.931391547005088,16.576202833556504,4.763772876868876,128,15876,jacobi-pcg,1e-08,True,299,0.00022390007507055998,0.2631809999002144,0.26340489997528493,9.925975237190156e-09,1.3266029357910156,amg-pcg,False,1.6638399666626664
smooth_c30,smooth,30.0,29.931391547005088,16.576202833556504,4.763772876868876,128,15876,amg-pcg,1e-08,True,9,0.07245019997935742,0.03265029995236546,0.10510049993172288,7.112062213810203e-09,1.3266029357910156,amg-pcg,True,4.169947814504908
smooth_c30,smooth,30.0,29.982953127525782,16.61970449903312,4.7642295778381,256,64516,cg,1e-08,True,1065,3.00002284348011e-07,1.54360530001577,1.5436056000180542,9.456326092977594e-09,5.402774810791016,amg-pcg,False,1.0
smooth_c30,smooth,30.0,29.982953127525782,16.61970449903312,4.7642295778381,256,64516,jacobi-pcg,1e-08,True,606,0.0003063000040128827,0.8571925000287592,0.8574988000327721,9.388444949444086e-09,5.402774810791016,amg-pcg,False,1.8001256677666024
smooth_c30,smooth,30.0,29.982953127525782,16.61970449903312,4.7642295778381,256,64516,amg-pcg,1e-08,True,9,0.2717939999420196,0.10630680003669113,0.3781007999787107,4.447316827221163e-09,5.402774810791016,amg-pcg,True,4.082524025616895
