repeat_index,coefficient_case,family,contrast_target,contrast_observed,grad_logk_inf,total_variation_proxy,n,n_unknowns,method,tolerance,converged,iterations,setup_seconds,solve_seconds,total_seconds,residual_norm,memory_estimate_mb,best_method,is_best,speedup_vs_cg
2,inclusion_c100,inclusion,100.0,100.0,413.55607751284737,118.48818897637796,128,15876,amg-pcg,1e-08,True,12,0.05313759995624423,0.029074099962599576,0.0822116999188438,1.6535239596636334e-09,1.3266029357910156,amg-pcg,True,14.8242890158411
2,inclusion_c100,inclusion,100.0,100.0,830.368502092725,118.02352941176471,256,64516,cg,1e-08,True,4370,4.00003045797348e-07,4.758556500077248,4.758556900080293,9.952871014461878e-09,5.402774810791016,amg-pcg,False,1.0
2,inclusion_c100,inclusion,100.0,100.0,830.368502092725,118.02352941176471,256,64516,jacobi-pcg,1e-08,True,535,0.0003073000116273761,0.6113293999806046,0.611636699992232,9.140165530045868e-09,5.402774810791016,amg-pcg,False,7.78003821572631
2,inclusion_c100,inclusion,100.0,100.0,830.368502092725,118.02352941176471,256,64516,amg-pcg,1e-08,True,12,0.15759459999389946,0.08731869992334396,0.24491329991724342,4.449638310571465e-09,5.402774810791016,amg-pcg,True,19.42955691539911
2,layered_c100,layered,100.0,100.0,145.0628608586249,100.57142857142857,64,3844,cg,1e-08,True,1136,4.00003045797348e-07,0.05644859990570694,0.05644899990875274,9.28175956662757e-09,0.3197669982910156,jacobi-pcg,False,1.0
2,layered_c100,layered,100.0,100.0,145.0628608586249,100.57142857142857,64,3844,jacobi-pcg,1e-08,True,164,8.439994417130947e-05,0.008985199965536594,0.009069599909707904,9.526385765497279e-09,0.3197669982910156,jacobi-pcg,True,6.223979058693752
2,layered_c100,layered,100.0,100.0,145.0628608586249,100.57142857142857,64,3844,amg-pcg,1e-08,True,9,0.013474599923938513,0.004870899952948093,0.018345499876886606,1.7630778776088942e-09,0.3197669982910156,jacobi-pcg,False,3.076994373964839
2,layered_c100,layered,100.0,100.0,292.42830681024384,99.77952755905511,128,15876,cg,1e-08,True,2447,3.00002284348011e-07,1.4904653000412509,1.4904656000435352,9.125319690900396e-09,1.3266029357910156,amg-pcg,False,1.0
2,layered_c100,layered,100.0,100.0,292.42830681024384,99.77952755905511,128,15876,jacobi-pcg,1e-08,True,325,0.00013860000763088465,0.2043032000074163,0.2044418000150472,9.672378983313863e-09,1.3266029357910156,amg-pcg,False,7.290415169176924
2,layered_c100,layered,100.0,100.0,292.42830681024384,99.77952755905511,128,15876,amg-pcg,1e-08,True,10,0.05263839999679476,0.025977400015108287,0.07861580001190305,7.352976188889274e-09,1.3266029357910156,amg-pcg,True,18.95885559668498
2,layered_c100,layered,100.0,100.0,587.1591987134817,99.38823529411765,256,64516,cg,1e-08,True,5055,4.00003045797348e-07,5.530848499969579,5.530848899972625,9.736554715984458e-09,5.402774810791016,amg-pcg,False,1.0
2,layered_c100,layered,100.0,100.0,587.1591987134817,99.38823529411765,256,64516,jacobi-pcg,1e-08,True,657,0.0002911000046879053,0.7693105000071228,0.7696016000118107,9.665856518359263e-09,5.402774810791016,amg-pcg,False,7.186639034908121
2,layered_c100,layered,100.0,100.0,587.1591987134817,99.38823529411765,256,64516,amg-pcg,1e-08,True,10,0.15954500006046146,0.07284110004547983,0.2323861001059413,3.551065148729054e-09,5.402774810791016,amg-pcg,True,23.80025697514264
2,checkerboard_c100,checkerboard,100.0,100.0,205.14986522290855,1408.0,64,3844,cg,1e-08,True,443,2.00001522898674e-07,0.02063579997047782,0.020635999972000718,8.53720063550755e-09,0.3197669982910156,jacobi-pcg,False,1.0
2,checkerboard_c100,checkerboard,100.0,100.0,205.14986522290855,1408.0,64,3844,jacobi-pcg,1e-08,True,171,8.28000484034419e-05,0.008617399958893657,0.008700200007297099,8.56726025116485e-09,0.3197669982910156,jacobi-pcg,True,2.3718994913556855
2,checkerboard_c100,checkerboard,100.0,100.0,205.14986522290855,1408.0,64,3844,amg-pcg,1e-08,True,13,0.00968240003567189,0.007404100033454597,0.017086500069126487,6.723775635952874e-09,0.3197669982910156,jacobi-pcg,False,1.2077370958659817
2,checkerboard_c100,checkerboard,100.0,100.0,413.55607751284737,1396.9133858267717,128,15876,cg,1e-08,True,1050,3.00002284348011e-07,0.6368311999831349,0.6368314999854192,9.307491102354429e-09,1.3266029357910156,amg-pcg,False,1.0
2,checkerboard_c100,checkerboard,100.0,100.0,413.55607751284737,1396.9133858267717,128,15876,jacobi-pcg,1e-08,True,350,0.00011620006989687681,0.21838540001772344,0.21850160008762032,9.663696652581425e-09,1.3266029357910156,amg-pcg,False,2.9145392973325888
