coefficient_case,n,method,repeat,solve_ratio,total_ratio
inclusion_c100,256,amg-pcg,0,0.7833927974221411,0.7658194060642967
inclusion_c100,256,amg-pcg,1,1.0097875766987146,1.007707193833253
inclusion_c100,256,amg-pcg,2,1.0810186473506889,1.0255243307900337
inclusion_c100,256,amg-pcg,3,1.034890486998565,0.9762625291879897
inclusion_c100,256,amg-pcg,4,1.080788236543151,1.1748538428944422
inclusion_c100,256,amg-pcg,5,1.0294147538325868,1.1131628327587544
inclusion_c100,256,amg-pcg,6,1.1762004254004805,1.0786278275443504
checkerboard_c100,64,cg,0,1.121553193470693,1.1215457228677919
checkerboard_c100,64,cg,1,0.9289001302159897,0.9289050970342155
checkerboard_c100,64,cg,2,1.6932068083338698,1.6931904727336542
checkerboard_c100,64,cg,3,1.6447295006712062,1.6447172631803015
checkerboard_c100,64,cg,4,1.704808138648945,1.7047809904591933
checkerboard_c100,64,cg,5,1.542283961222655,1.5422533696858474
checkerboard_c100,64,cg,6,0.7765809376673282,0.7765821535011166
checkerboard_c100,64,jacobi-pcg,0,1.5494692206022644,1.5376454646727808
checkerboard_c100,64,jacobi-pcg,1,1.5045080974308154,1.4892157914324562
checkerboard_c100,64,jacobi-pcg,2,1.5499580451003192,1.5277937895746858
checkerboard_c100,64,jacobi-pcg,3,1.5918945671536102,1.5757333816776093
checkerboard_c100,64,jacobi-pcg,4,1.6522164442121903,1.6403628711772595
checkerboard_c100,64,jacobi-pcg,5,1.5993171036742886,1.591433693310312
checkerboard_c100,64,jacobi-pcg,6,2.9627192165905147,2.9231120743236745
checkerboard_c100,64,amg-pcg,0,0.8956309280567938,0.8678918329384385
checkerboard_c100,64,amg-pcg,1,1.0354277730752226,1.0581524444762427
checkerboard_c100,64,amg-pcg,2,0.9651854875705793,0.9531807936127557
checkerboard_c100,64,amg-pcg,3,1.0700353789158528,1.063469370464969
checkerboard_c100,64,amg-pcg,4,1.0436737896824158,1.0686486484349076
checkerboard_c100,64,amg-pcg,5,1.013300423512963,1.0016319696130354
checkerboard_c100,64,amg-pcg,6,1.2492235219072083,1.1269049473203188
checkerboard_c100,128,cg,0,2.01279701077036,2.0127919121585274
checkerboard_c100,128,cg,1,1.7311849949677751,1.731184757824356
checkerboard_c100,128,cg,2,1.7092546081379902,1.709251986004519
checkerboard_c100,128,cg,3,1.6257709420661657,1.6257652322372802
checkerboard_c100,128,cg,4,1.7263084251043852,1.7263058149804928
checkerboard_c100,128,cg,5,1.7763003943617643,1.776295581741064
checkerboard_c100,128,cg,6,1.9816880558127377,1.9816858605091807
checkerboard_c100,128,jacobi-pcg,0,1.7005279495543923,1.7030076107573155
checkerboard_c100,128,jacobi-pcg,1,1.686433526207605,1.6842394583752005
checkerboard_c100,128,jacobi-pcg,2,1.6520833557733046,1.6447433010558823
checkerboard_c100,128,jacobi-pcg,3,1.787686067903206,1.7762796238607221
checkerboard_c100,128,jacobi-pcg,4,1.5064455212588221,1.5016862604553762
checkerboard_c100,128,jacobi-pcg,5,1.5355580141839877,1.533658217598267
checkerboard_c100,128,jacobi-pcg,6,0.7734530146331515,0.7712895194781476
checkerboard_c100,128,amg-pcg,0,0.8893778069784625,0.7076580667145692
checkerboard_c100,128,amg-pcg,1,1.0646202672809437,0.9805104168577132
checkerboard_c100,128,amg-pcg,2,1.0376371665611637,1.000305544193199
checkerboard_c100,128,amg-pcg,3,1.277002767924944,1.2923249613752181
checkerboard_c100,128,amg-pcg,4,1.0250817094553082,1.0131997235802255
checkerboard_c100,128,amg-pcg,5,1.2032165975929385,1.155504042819995
checkerboard_c100,128,amg-pcg,6,1.1478045902426541,0.9729374321673261
checkerboard_c100,256,cg,0,1.5866624640782192,1.5866623582270807
checkerboard_c100,256,cg,1,1.807106011617609,1.8071060712965101
checkerboard_c100,256,cg,2,1.963252204454177,1.9632517521670616
checkerboard_c100,256,cg,3,2.1751376675597665,2.175137101748503
checkerboard_c100,256,cg,4,1.7781504614442645,1.7781503840710464
checkerboard_c100,256,cg,5,1.7929784446416346,1.792978638929631
checkerboard_c100,256,cg,6,1.6376149535360283,1.6376150073118327
checkerboard_c100,256,jacobi-pcg,0,1.7638118451904474,1.761826383319766
checkerboard_c100,256,jacobi-pcg,1,1.8319296204415085,1.8300630968743
checkerboard_c100,256,jacobi-pcg,2,1.670327694827516,1.667203855127666
checkerboard_c100,256,jacobi-pcg,3,1.4486136927878415,1.4443596916636412
checkerboard_c100,256,jacobi-pcg,4,1.7525608412800417,1.7483879550926853
checkerboard_c100,256,jacobi-pcg,5,1.5466925310283508,1.546140129310883
checkerboard_c100,256,jacobi-pcg,6,1.5406852785284886,1.5405189757952622
checkerboard_c100,256,amg-pcg,0,1.0414020096195635,1.0469089041962594
checkerboard_c100,256,amg-pcg,1,1.3889495364368256,1.3389694966763048
checkerboard_c100,256,amg-pcg,2,1.0914843685260731,1.066967639729591
checkerboard_c100,256,amg-pcg,3,1.06216360348284,1.0990222389190767
checkerboard_c100,256,amg-pcg,4,1.0007835054685879,0.917520332506685
checkerboard_c100,256,amg-pcg,5,1.0225741078863322,1.0216403862820285
checkerboard_c100,256,amg-pcg,6,1.4037692284045173,1.412169400856805
