coefficient_case,n,method,mode,setup_seconds_q25,setup_seconds_median,setup_seconds_q75,solve_seconds_q25,solve_seconds_median,solve_seconds_q75,total_seconds_q25,total_seconds_median,total_seconds_q75,iterations_q25,iterations_median,iterations_q75
inclusion_c100,128,amg-pcg,monitored,0.02064190001692623,0.021080799982883036,0.023333299992373213,0.01874810000299476,0.01932630001101643,0.02133529999991879,0.03939000001992099,0.04235070000868291,0.04369679998490028,12.0,12.0,12.0
inclusion_c100,128,amg-pcg,count-only,0.02100500001688488,0.021497600013390183,0.023545850010123104,0.018091600009938702,0.018270200002007186,0.018422649998683482,0.039181150030344725,0.03976780001539737,0.04160799999954179,12.0,12.0,12.0
inclusion_c100,256,cg,monitored,3.00002284348011e-07,3.00002284348011e-07,4.00003045797348e-07,2.2716321499901824,2.333737700013444,2.4591604999732226,2.271632549993228,2.333738000015728,2.459160799975507,4368.0,4368.0,4368.0
inclusion_c100,256,cg,count-only,3.00002284348011e-07,4.00003045797348e-07,5.00003807246685e-07,1.2650811499916017,1.3310854000155814,1.5736228000023402,1.2650815999950282,1.3310857000178657,1.573623200005386,4368.0,4368.0,4368.0
inclusion_c100,256,jacobi-pcg,monitored,0.0004930499999318272,0.0005033999914303422,0.0006426500040106475,0.3001407499832567,0.30911319999722764,0.3651945499877911,0.3005488000053447,0.309616599988658,0.36575359996641055,535.0,535.0,535.0
inclusion_c100,256,jacobi-pcg,count-only,0.000572400022065267,0.000659500015899539,0.0007539000071119517,0.17211075001978315,0.1882746999617666,0.20251344999996945,0.17253840001649223,0.1890259999781847,0.20319660002132878,535.0,535.0,535.0
inclusion_c100,256,amg-pcg,monitored,0.08033640001667663,0.08224059996427968,0.09193615001277067,0.07330315001308918,0.07471929996972904,0.0763563999789767,0.15222125002765097,0.156225299986545,0.16829254999174736,12.0,12.0,12.0
inclusion_c100,256,amg-pcg,count-only,0.07838094999897294,0.08389720000559464,0.09266244998434559,0.06987924998975359,0.07191769999917597,0.084587699995609,0.15123794999090023,0.15233700000680983,0.1747266999736894,12.0,12.0,12.0
checkerboard_c100,64,cg,monitored,2.500019036233425e-07,3.00002284348011e-07,5.00003807246685e-07,0.02111935001448728,0.021555199986323714,0.024001849989872426,0.021119700017152354,0.021555499988608062,0.024002249992918223,443.0,443.0,443.0
checkerboard_c100,64,cg,count-only,3.500026650726795e-07,4.00003045797348e-07,4.00003045797348e-07,0.013265049987239763,0.01406780001707375,0.02206314998329617,0.01326544999028556,0.014068200020119548,0.022063499985961244,443.0,443.0,443.0
checkerboard_c100,64,jacobi-pcg,monitored,0.00010210002074018121,0.00011639995500445366,0.00013589998707175255,0.008381599996937439,0.008571699960157275,0.009069450024981052,0.008504649973474443,0.008686999964993447,0.009175000013783574,171.0,171.0,171.0
checkerboard_c100,64,jacobi-pcg,count-only,0.00012115002027712762,0.00012640003114938736,0.0001278999843634665,0.0053880499908700585,0.005512300005648285,0.005662549985572696,0.005500550003489479,0.00562860001809895,0.005789749993709847,171.0,171.0,171.0
checkerboard_c100,64,amg-pcg,monitored,0.007852849987102672,0.008108299982268363,0.008685150009114295,0.006461950019001961,0.006521500006783754,0.006615949998376891,0.014302099996712059,0.014629799989052117,0.015301100007491186,13.0,13.0,13.0
checkerboard_c100,64,amg-pcg,count-only,0.007595950009999797,0.007858299999497831,0.009219650033628568,0.0062404999625869095,0.006360700004734099,0.00705765001475811,0.013892499991925433,0.014410100062377751,0.01608270002179779,13.0,13.0,13.0
checkerboard_c100,128,cg,monitored,3.00002284348011e-07,3.00002284348011e-07,4.00003045797348e-07,0.1427055999811273,0.1460351999849081,0.15547289999085478,0.1427059999841731,0.14603549998719245,0.1554731499927584,1050.0,1050.0,1050.0
checkerboard_c100,128,cg,count-only,3.00002284348011e-07,3.00002284348011e-07,4.500034265220165e-07,0.08138315001269802,0.0834801000310108,0.08756310000899248,0.08138345001498237,0.08348040003329515,0.087563550012419,1050.0,1050.0,1050.0
checkerboard_c100,128,jacobi-pcg,monitored,0.00015295002958737314,0.00019649998284876347,0.00022839999292045832,0.04808584999409504,0.049945899983868,0.0529188999789767,0.04831785001442768,0.0501819999772124,0.053068999986862764,350.0,350.0,350.0
checkerboard_c100,128,jacobi-pcg,count-only,0.00015694997273385525,0.00024719996144995093,0.00026220001745969057,0.028548849979415536,0.02940410003066063,0.033923700015293434,0.02874310000333935,0.02965129999211058,0.03414040000643581,350.0,350.0,350.0
checkerboard_c100,128,amg-pcg,monitored,0.02180479996604845,0.02338979998603463,0.025881400011712685,0.026725700008682907,0.027437500015366822,0.033114599995315075,0.04856804996961728,0.050707099959254265,0.05899600000702776,17.0,17.0,17.0
checkerboard_c100,128,amg-pcg,count-only,0.021945749991573393,0.02339759998722002,0.0307040500047151,0.02595265000127256,0.026648900005966425,0.028312250011367723,0.048176699987379834,0.050046499993186444,0.05828245001612231,17.0,17.0,17.0
checkerboard_c100,256,cg,monitored,3.00002284348011e-07,4.00003045797348e-07,4.500034265220165e-07,1.2112824500072747,1.278470799967181,1.330115399992792,1.2112828000099398,1.2784710999694653,1.3301157999958377,2268.0,2268.0,2268.0
checkerboard_c100,256,cg,count-only,2.00001522898674e-07,3.00002284348011e-07,3.00002284348011e-07,0.6426847999973688,0.717982700036373,0.7234010999964084,0.6426850499992725,0.7179830000386573,0.7234012999979313,2268.0,2268.0,2268.0
checkerboard_c100,256,jacobi-pcg,monitored,0.00040725001599639654,0.00045870000030845404,0.0006773999775759876,0.3789678999746684,0.40817920002155006,0.4858517999819014,0.3796452999522444,0.4086379000218585,0.4861732999852393,718.0,718.0,718.0
checkerboard_c100,256,jacobi-pcg,count-only,0.000577000027988106,0.0006812000065110624,0.0009176500025205314,0.22322429998894222,0.2533151999814436,0.30098759999964386,0.22380385000724345,0.2540716999792494,0.3017593999975361,718.0,718.0,718.0
checkerboard_c100,256,amg-pcg,monitored,0.08495104999747127,0.08590280002681538,0.09364039998035878,0.10433714999817312,0.1063655000180006,0.12286330002825707,0.18903969999519177,0.19230790005531162,0.21648390000336803,17.0,17.0,17.0
checkerboard_c100,256,amg-pcg,count-only,0.07768404998932965,0.08275120001053438,0.09458044997882098,0.09871455002576113,0.10030709998682141,0.10427380001056008,0.17780015000607818,0.18023779999930412,0.19885424998938106,17.0,17.0,17.0
