n,contrast,geometry,average,rhs,jacobi_setup,jacobi_solve,jacobi_total,jacobi_iterations,amg0_setup,amg0_solve,amg0_total,amg0_iterations,accepted,max_residual,winner,jacobi_wins,repeats,min_paired_ratio,max_paired_ratio,stable
192,1000.0,components1_29,harmonic,dipole_y,0.00014060000012250384,0.16622910000023694,0.1663754000001063,898.0,0.041043700000045646,0.04682230000071286,0.08764470000005531,15.0,True,9.934196921285666e-10,amg0,0,5,1.7035556257836602,2.1220235106021397,True
192,1000.0,components1_29,harmonic,ones,0.00013549999948736513,0.16161259999989852,0.16174809999938589,894.0,0.04120009999951435,0.04509469999993598,0.08629479999945033,14.0,True,2.7733853707091886e-09,amg0,0,5,1.3111759455828063,2.0098910521280366,True
192,1000.0,components1_29,harmonic,random,0.00013669999952981016,0.1479975000002014,0.14813060000051337,878.0,0.041636799999650975,0.0400179999996908,0.08655199999975594,12.0,True,9.885001493192472e-10,amg0,0,5,1.659016931163655,1.9200134023589839,True
192,1000.0,components1_32,harmonic,dipole_x,0.00015910000001895241,0.17185310000058962,0.1719929000000775,904.0,0.041209999999409774,0.04735030000028928,0.09428860000025452,15.0,True,9.833006685581348e-10,amg0,0,5,1.726904794919576,2.185391680924628,True
192,1000.0,components1_32,harmonic,dipole_y,0.0002274999997098348,0.1672816000000239,0.16750909999973373,906.0,0.041453200000432844,0.05051589999948192,0.09196909999991476,15.0,True,9.872285847791913e-10,amg0,0,5,1.448859527838534,1.9195296662921952,True
192,1000.0,components1_32,harmonic,ones,0.00023500000042986358,0.16179620000002615,0.16205530000024737,906.0,0.041629700000157754,0.04937399999926129,0.09588029999940773,15.0,True,2.800261512325722e-09,amg0,0,5,1.486458208629602,1.8193122049161616,True
192,1000.0,components1_32,harmonic,random,0.0002207000006819726,0.15990419999980077,0.16011559999969904,877.0,0.042424600000231294,0.042793699999492674,0.08478389999891078,13.0,True,9.822947352731497e-10,amg0,0,5,1.8818065694252168,1.9649541194626488,True
192,1000.0,components1_77,harmonic,dipole_x,0.0002196000004914822,0.15961460000016814,0.15998529999978928,896.0,0.0444697000002634,0.04860869999993156,0.09599439999965398,15.0,True,9.969478092037873e-10,amg0,0,5,1.638012264354414,1.8545102631061638,True
192,1000.0,components1_77,harmonic,dipole_y,0.000230599999667902,0.16923429999951622,0.16948329999922862,901.0,0.04239759999927628,0.04951829999936308,0.0933285999999498,15.0,True,9.835187296668944e-10,amg0,0,5,1.6773602578930031,1.8829994235372587,True
192,1000.0,components1_77,harmonic,ones,0.00021490000017365674,0.16406129999995755,0.16427159999966534,897.0,0.04165180000018154,0.04903740000008838,0.0913698000003933,15.0,True,2.764682391661647e-09,amg0,0,5,1.5736592304280017,1.9032321811002069,True
192,1000.0,components1_77,harmonic,random,0.0002480000002833549,0.1562577999993664,0.15651859999888984,870.0,0.04146900000068854,0.0454583000000639,0.0864214000002903,13.0,True,9.70666854338555e-10,amg0,0,5,1.391781798154113,2.005975566286067,True
192,1000.0,components2_15,harmonic,dipole_x,0.00021740000011050142,0.18043570000008913,0.18065829999977723,991.0,0.040546700000049896,0.055025100000420935,0.0990269999983866,17.0,True,9.542218080385908e-10,amg0,0,5,1.6478697850124784,1.824333767585816,True
192,1000.0,components2_15,harmonic,dipole_y,0.00023039999996399274,0.18024879999939003,0.18045969999911904,998.0,0.04113539999980276,0.05717290000029607,0.1018448000004355,17.0,True,9.819082247297117e-10,amg0,0,5,1.7154110372668865,1.8831825298683103,True
192,1000.0,components2_15,harmonic,ones,0.00022759999956178945,0.17732249999971827,0.17753729999913048,993.0,0.04264160000002448,0.05750960000023042,0.10004189999926894,17.0,True,2.7550657555749653e-09,amg0,0,5,1.739538506733895,1.8799477182215187,True
192,1000.0,components2_15,harmonic,random,0.00021919999926467426,0.17280870000013238,0.17303760000049806,960.0,0.04201290000037261,0.05109950000041863,0.09683469999981753,15.0,True,9.383809132394067e-10,amg0,0,5,1.7315240004121901,1.9459261953077638,True
192,1000.0,components2_37,harmonic,dipole_x,0.00015269999948941404,0.18075620000035997,0.18090529999972205,985.0,0.04125149999981659,0.0558469999996305,0.0963235999997778,17.0,True,9.81840917583907e-10,amg0,0,5,1.7185239536613215,2.035886324858706,True
192,1000.0,components2_37,harmonic,dipole_y,0.00014310000005934853,0.18221749999975145,0.18237429999953747,986.0,0.041038100000150735,0.05837280000014289,0.09941090000029362,17.0,True,1.0634510885815625e-09,amg0,0,5,1.6610906633272864,2.025230653964041,True
192,1000.0,components2_37,harmonic,ones,0.00014869999995426042,0.17285249999986263,0.1730374999997366,981.0,0.04323189999922761,0.059027100000093924,0.10222700000031182,17.0,True,2.7745283160301186e-09,amg0,0,5,1.468523363355154,1.8248896866661508,True
192,1000.0,components2_37,harmonic,random,0.00015040000016597332,0.17894079999950918,0.1790912999995271,969.0,0.04203600000073493,0.050746500000059314,0.09095220000017434,15.0,True,9.906044105144084e-10,amg0,0,5,1.7609106051213057,2.31646815486326,True
192,1000.0,components2_57,harmonic,dipole_x,0.000178799999957846,0.17840830000022834,0.17857029999959195,1009.0,0.048942100000203936,0.0577357000001939,0.10667780000039784,17.0,True,9.365148419320178e-10,amg0,0,5,1.4949151038380601,1.8713689384950973,True
192,1000.0,components2_57,harmonic,dipole_y,0.00027099999988422496,0.19557630000053905,0.1960638000009567,1010.0,0.04303849999996601,0.058061300000190386,0.10151110000060726,17.0,True,1.072094110764753e-09,amg0,0,5,1.7064374876205308,2.5373606157285162,True
192,1000.0,components2_57,harmonic,ones,0.00023039999996399274,0.1881732000001648,0.188386900000296,1003.0,0.04483720000007452,0.0591748999995616,0.10401209999963612,17.0,True,2.6639814754203457e-09,amg0,0,5,1.422733022537986,2.4980342535429894,True
192,1000.0,components2_57,harmonic,random,0.0002195999995819875,0.1762128999998822,0.17635380000047007,966.0,0.04968569999982719,0.05018899999959103,0.09994269999970129,15.0,True,9.70565088031612e-10,amg0,0,5,1.6170081979740842,2.0101342916050977,True
192,1000.0,islands_symmetric,harmonic,dipole_x,0.00025579999964975286,0.07453660000010132,0.07479239999975107,424.0,0.044066899999961606,0.05677119999927527,0.09937960000024759,18.0,True,9.925992214146663e-10,jacobi,5,5,0.6204073371450881,0.7851822708047477,True
192,1000.0,islands_symmetric,harmonic,dipole_y,0.00021019999985583127,0.07955049999964103,0.07979359999990265,478.0,0.04267100000015489,0.055416600000171456,0.09808760000032635,17.0,True,1.0519277891213741e-09,jacobi,5,5,0.8134932448101204,0.9056065217120912,True
192,1000.0,islands_symmetric,harmonic,ones,0.00022230000013223616,0.09794940000028873,0.09806980000030308,548.0,0.04455710000002,0.056947300000501855,0.10150440000052185,18.0,True,2.062431644647279e-09,jacobi,5,5,0.9122563550277764,0.9661630431764424,True
192,1000.0,islands_symmetric,harmonic,random,0.00025610000011511147,0.17790940000031696,0.1781756000000314,963.0,0.041769700000259036,0.049247099999774946,0.09101680000003398,15.0,True,9.90526736360783e-10,amg0,0,5,1.798734108891151,1.9737716296258707,True
