n,contrast,geometry,variant,average,rhs,jacobi_setup,jacobi_solve,jacobi_total,jacobi_iterations,amg0_setup,amg0_solve,amg0_total,amg0_iterations,accepted,max_residual,winner,jacobi_wins,repeats,min_paired_ratio,max_paired_ratio,stable
128,1000.0,disconnected,transpose,harmonic,random,7.60000002628658e-05,0.05496619999939867,0.05506209999930434,634.0,0.02214559999993071,0.02212450000024546,0.04484669999965263,14.0,True,9.708283193027376e-10,amg0,0,5,1.165400491071151,1.284657725103526,True
192,1000.0,connected,centered,arithmetic,dipole_x,0.0001449999999749707,0.16302109999924141,0.1632045999986076,888.0,0.04775580000023183,0.051256300000204646,0.09750640000038402,15.0,True,9.611456551844358e-10,amg0,0,5,1.525855377403748,1.880880016244533,True
192,1000.0,connected,centered,arithmetic,dipole_y,0.0001615999999557971,0.1728651000003083,0.17303739999988466,915.0,0.045888900000136346,0.050334500000644766,0.09558660000129748,15.0,True,9.581394324361504e-10,amg0,0,5,1.6840049244154993,1.885804447193821,True
192,1000.0,connected,centered,arithmetic,ones,0.00014959999953134684,0.1631201999998666,0.16326979999939795,918.0,0.04951100000016595,0.05273529999976745,0.1022462999999334,15.0,True,2.896155605550217e-09,amg0,0,5,1.5416123103793307,1.7534209061856691,True
192,1000.0,connected,centered,arithmetic,random,0.00016090000008261995,0.16800080000029993,0.16816170000038255,888.0,0.046012400000108755,0.04494579999936832,0.09095819999947707,13.0,True,9.413058679098936e-10,amg0,0,5,1.6745748571517893,1.9734803060204447,True
192,1000.0,connected,centered,harmonic,dipole_x,0.0001489000005676644,0.16115480000007665,0.16128570000000764,886.0,0.0470021999999517,0.05323599999974249,0.10023819999969419,15.0,True,1.0046020137480822e-09,amg0,0,5,1.496084961364697,1.7354920765967374,True
192,1000.0,connected,centered,harmonic,dipole_y,0.00014869999995426042,0.17256480000014562,0.17269970000052126,906.0,0.04346700000041892,0.05140099999971426,0.09495410000090487,15.0,True,9.948467581205373e-10,amg0,0,5,1.730668117046185,1.9067806854024512,True
192,1000.0,connected,centered,harmonic,ones,0.00015760000042064348,0.16889810000066063,0.1690337999998519,909.0,0.04362169999967591,0.05221460000029765,0.09465399999953661,15.0,True,2.7570742276220587e-09,amg0,0,5,1.657027575701775,2.0173061888711388,True
192,1000.0,connected,centered,harmonic,random,0.00013159999980416615,0.1654183999999077,0.16554919999998674,870.0,0.044931000000360655,0.046567399999730696,0.09196669999982987,13.0,True,9.600083569394741e-10,amg0,0,5,1.6827269525900037,2.0029607750128964,True
192,1000.0,connected,shift_x,arithmetic,dipole_x,0.000167199999850709,0.16478640000059386,0.1649594000000434,889.0,0.04576629999974102,0.04954710000038176,0.09413930000027904,15.0,True,9.504270886077595e-10,amg0,0,5,1.4129526844211868,1.8285070791843308,True
192,1000.0,connected,shift_x,arithmetic,dipole_y,0.00016330000016751,0.16271560000041063,0.16287150000061956,916.0,0.046734799999285315,0.04967839999972057,0.09643019999930402,15.0,True,9.527058435595497e-10,amg0,0,5,1.6389770788150826,1.7841201387904848,True
192,1000.0,connected,shift_x,arithmetic,ones,0.00017289999959757552,0.1647584000002098,0.1648884000005637,918.0,0.045072300000356336,0.05068490000030579,0.09398520000104327,15.0,True,2.809085708045797e-09,amg0,0,5,1.5279781453208274,1.983059262289394,True
192,1000.0,connected,shift_x,arithmetic,random,0.0001551000004837988,0.15524829999958456,0.15540340000006836,890.0,0.044541100000060396,0.04382629999963683,0.08836739999969723,13.0,True,9.918776463932297e-10,amg0,0,5,1.709183763794643,1.9048523913207953,True
192,1000.0,connected,shift_x,harmonic,dipole_x,0.00013969999963592272,0.17447450000054232,0.17461290000028384,885.0,0.05148600000029546,0.05230980000033014,0.10315979999995761,14.0,True,9.793492952124553e-10,amg0,0,5,1.4880786060361428,1.8263021752429611,True
192,1000.0,connected,shift_x,harmonic,dipole_y,0.00014450000071519753,0.19154270000035467,0.19168720000106987,898.0,0.05739519999951881,0.05645860000004177,0.11385379999956058,14.0,True,9.601369177774057e-10,amg0,0,5,1.4774641868700331,2.2913678980369765,True
192,1000.0,connected,shift_x,harmonic,ones,0.00018589999945106683,0.19381669999984297,0.1939671999998609,904.0,0.0524967999999717,0.051677899999958754,0.10539829999925132,14.0,True,2.7971373794493682e-09,amg0,0,5,1.7767754499730721,2.8523311997878986,True
192,1000.0,connected,shift_x,harmonic,random,0.0001526000005469541,0.17707470000004832,0.17721230000006472,869.0,0.05779970000003232,0.046907500000088476,0.10220529999969585,12.0,True,9.57401449347267e-10,amg0,1,5,0.7383050757014722,1.9293823314575513,False
192,1000.0,connected,transpose,arithmetic,dipole_x,0.00013929999931860948,0.1639325000005556,0.1640717999998742,888.0,0.04274329999952897,0.04584739999972953,0.09276820000013686,14.0,True,9.599487301932233e-10,amg0,0,5,1.7264008571913867,1.9091302597168034,True
192,1000.0,connected,transpose,arithmetic,dipole_y,0.00013250000029074727,0.16790319999927306,0.1680326999994577,915.0,0.04396530000030907,0.0466735999998491,0.08963049999965733,14.0,True,9.59821806408032e-10,amg0,0,5,1.5132260829489732,1.9333970769898958,True
192,1000.0,connected,transpose,arithmetic,ones,0.00013720000060857274,0.17324619999999413,0.1733860000003915,918.0,0.04303369999979623,0.04547510000065813,0.08850880000045436,14.0,True,2.9390363753989255e-09,amg0,0,5,1.6598391330989701,2.1573149436492085,True
192,1000.0,connected,transpose,arithmetic,random,0.00012960000003658934,0.15889339999921503,0.15902299999925162,888.0,0.042076300000189804,0.03999400000066089,0.08106059999954596,12.0,True,9.401028522473934e-10,amg0,0,5,1.6297148300676751,2.1354406456502697,True
192,1000.0,connected,transpose,harmonic,dipole_x,0.00015210000037768623,0.1711113999999725,0.17126629999984289,886.0,0.043957099999715865,0.043342500000107975,0.08767640000041865,13.0,True,1.0019569121554888e-09,amg0,0,5,1.831704837946303,2.0367065709639585,True
192,1000.0,connected,transpose,harmonic,dipole_y,0.00013380000018514693,0.16550069999993866,0.16566489999968326,906.0,0.043802299999697425,0.04354419999981474,0.08748439999999391,13.0,True,9.97566573709954e-10,amg0,0,5,1.7904521376759694,1.9481047049861269,True
192,1000.0,connected,transpose,harmonic,ones,0.00013409999974101083,0.1632179999996879,0.16335139999955572,909.0,0.042730500000288885,0.043635400000312075,0.08636590000060096,13.0,True,2.821513728549962e-09,amg0,0,5,1.8014950481835346,1.9977651394294038,True
192,1000.0,connected,transpose,harmonic,random,0.0001677999998719315,0.15477809999993042,0.15494589999980235,870.0,0.04258110000046145,0.0399518000003809,0.0823129999998855,12.0,True,9.59855889891599e-10,amg0,0,5,1.754091753981235,1.9629112283461323,True
192,1000.0,disconnected,centered,arithmetic,dipole_x,0.00015869999970163917,0.07879540000067209,0.07896100000016304,404.0,0.04598009999972419,0.05693680000058521,0.1029169000003094,17.0,True,9.682583905481316e-10,jacobi,5,5,0.7078931692218293,0.8345888664056781,True
192,1000.0,disconnected,centered,arithmetic,dipole_y,0.00015170000006037299,0.09940310000001773,0.0995548000000781,494.0,0.0462188999999853,0.05844710000019404,0.10466600000017934,17.0,True,1.2812009353677047e-09,jacobi,5,5,0.8267933844025159,0.9969882145696258,True
192,1000.0,disconnected,centered,arithmetic,ones,0.0001824000000851811,0.1061879000008048,0.1063772000006793,555.0,0.04464110000026267,0.05755460000000312,0.10140330000012909,17.0,True,2.1763089565496595e-09,amg0,2,5,0.9693911119539884,1.1903102164401254,False
192,1000.0,disconnected,centered,arithmetic,random,0.0001441000003978843,0.18185400000038499,0.18199559999993653,947.0,0.04422969999995985,0.05005110000001878,0.09441589999914868,15.0,True,9.770568529277526e-10,amg0,0,5,1.628999264875608,2.197725090374444,True
192,1000.0,disconnected,centered,harmonic,dipole_x,0.00014400000054592965,0.07207319999997708,0.0722022999998444,403.0,0.04392120000011346,0.056679000000258384,0.10099620000073628,17.0,True,9.076303314903551e-10,jacobi,5,5,0.6462099953578968,0.7602150592445883,True
192,1000.0,disconnected,centered,harmonic,dipole_y,0.00015269999948941404,0.08894919999966078,0.08909899999980553,495.0,0.04460999999992055,0.05774289999953908,0.10065830000075948,17.0,True,1.290355839476956e-09,jacobi,5,5,0.8267579530842606,0.9200782289394963,True
192,1000.0,disconnected,centered,harmonic,ones,0.00016529999993508682,0.09958890000052634,0.09975330000088434,556.0,0.044057399999474,0.05696150000039779,0.10101889999987179,17.0,True,2.0956296358481532e-09,jacobi,3,5,0.8470466858059957,1.0489825038945908,False
192,1000.0,disconnected,centered,harmonic,random,0.00012939999942318536,0.16603529999974853,0.16616469999917172,949.0,0.04384140000001935,0.050004999999146094,0.09429199999976845,15.0,True,9.941891616592456e-10,amg0,0,5,1.7269833908766867,2.0672059141940275,True
192,1000.0,disconnected,shift_x,arithmetic,dipole_x,0.0002310999998371699,0.12492899999961082,0.1251496999993833,677.0,0.051893200000449724,0.05626070000016625,0.10783569999966858,17.0,True,9.212533792241898e-10,amg0,1,5,0.9632982302474993,1.2593206420375327,False
192,1000.0,disconnected,shift_x,arithmetic,dipole_y,0.00024339999981748406,0.10705200000029436,0.10727409999981319,619.0,0.045945899999424,0.059433399999761605,0.1053792999991856,17.0,True,1.4228279724849618e-09,amg0,3,5,0.8784805818746632,1.0994657811832735,False
192,1000.0,disconnected,shift_x,arithmetic,ones,0.0002184999993914971,0.1276506000003792,0.127929000000222,709.0,0.04389309999987745,0.05932629999915662,0.10253689999899507,18.0,True,2.4179578511589817e-09,amg0,0,5,1.181077218594543,1.296870374802893,True
192,1000.0,disconnected,shift_x,arithmetic,random,0.000224099999286409,0.16785350000009203,0.16806940000060422,951.0,0.04359019999992597,0.049627399999735644,0.09341180000046734,15.0,True,9.79943997904436e-10,amg0,0,5,1.7679009851445981,1.8593838033882084,True
192,1000.0,disconnected,shift_x,harmonic,dipole_x,0.00016899999991437653,0.12492010000005394,0.12509910000062519,677.0,0.043924100000367616,0.05357709999952931,0.09750119999989693,16.0,True,9.746160329003246e-10,amg0,0,5,1.193723317566003,1.8244135278055484,True
192,1000.0,disconnected,shift_x,harmonic,dipole_y,0.0001367999993817648,0.12144940000052884,0.12157720000050176,619.0,0.04436770000029355,0.05474239999966812,0.1001842999994551,16.0,True,1.4010351234522045e-09,amg0,0,5,1.1482497756622843,1.2878099214056435,True
192,1000.0,disconnected,shift_x,harmonic,ones,0.00015179999991232762,0.1277393000000302,0.12790730000051553,696.0,0.04371530000025814,0.0530071000002863,0.09679910000068048,16.0,True,2.4185633772269925e-09,amg0,0,5,1.220917497169409,1.3368245262122944,True
192,1000.0,disconnected,shift_x,harmonic,random,0.0001733999997668434,0.18529559999933554,0.18543269999918266,953.0,0.045420999999805645,0.045832099999643106,0.09125309999944875,14.0,True,9.762198060529e-10,amg0,0,5,1.921620895119102,2.162386489929305,True
192,1000.0,disconnected,transpose,arithmetic,dipole_x,0.0001370999998471234,0.07363129999976081,0.0737637000001996,404.0,0.04547649999949499,0.05774399999972957,0.10322049999922456,17.0,True,9.682781469450217e-10,jacobi,5,5,0.6825283322849522,0.7312946556212057,True
192,1000.0,disconnected,transpose,arithmetic,dipole_y,0.00018539999928179896,0.09378579999975045,0.09395589999985532,494.0,0.0459500000006301,0.05966069999976753,0.1063572999992175,17.0,True,1.2958982200994546e-09,jacobi,5,5,0.8117157919638788,0.9740804732940639,True
192,1000.0,disconnected,transpose,arithmetic,ones,0.0001426999997420353,0.11158350000005157,0.11171470000044792,555.0,0.045962600000166276,0.059118999999554944,0.10508159999972122,17.0,True,2.1865666575878597e-09,amg0,1,5,0.9822269508798201,1.120920313353892,False
192,1000.0,disconnected,transpose,arithmetic,random,0.00015419999999721767,0.17030100000010862,0.17045520000010583,947.0,0.04370250000010856,0.053781599999638274,0.09733050000068033,15.0,True,9.76147875336899e-10,amg0,0,5,1.6792747580059901,1.9683992900486456,True
192,1000.0,disconnected,transpose,harmonic,dipole_x,0.00015099999927770114,0.07239100000060716,0.07254160000138654,403.0,0.04292600000007951,0.0557637000001705,0.09868970000025001,17.0,True,9.076276306242268e-10,jacobi,5,5,0.7100103808231125,0.7786506595987689,True
192,1000.0,disconnected,transpose,harmonic,dipole_y,0.00016169999980775174,0.08905239999967307,0.08921409999948082,495.0,0.04471079999984795,0.05591569999978674,0.10102699999970355,17.0,True,1.3421375490019974e-09,jacobi,4,5,0.8483337321607076,1.0204113751802617,False
192,1000.0,disconnected,transpose,harmonic,ones,0.00014740000005986076,0.10824240000056307,0.10838420000072801,556.0,0.04378900000028807,0.05927759999940463,0.10418869999921299,17.0,True,2.1773403786542635e-09,amg0,2,5,0.9029115385960961,1.20775086703601,False
192,1000.0,disconnected,transpose,harmonic,random,0.00016989999949146295,0.16628159999982017,0.16643909999947937,949.0,0.04255810000086058,0.04903420000027836,0.09120179999990796,15.0,True,9.951557917096495e-10,amg0,0,5,1.8168917718880329,2.1974545819167894,True
96,1000.0,connected,centered,arithmetic,dipole_x,5.919999966863543e-05,0.028103999999984808,0.02815869999994902,440.0,0.01655789999949775,0.014387600000191014,0.030945499999688764,14.0,True,9.165597081023966e-10,jacobi,5,5,0.7453295641565577,0.9894453308535294,True
96,1000.0,connected,centered,arithmetic,dipole_y,5.959999998594867e-05,0.027603399999861722,0.02769540000008419,450.0,0.01547870000013063,0.013879600000109349,0.028769000000465894,14.0,True,9.83243563885885e-10,jacobi,5,5,0.6809434477075721,0.970901415184869,True
