n,contrast,shift_x,shift_y,alpha,repeat,order,method,seed,audit_seconds,operator_reflection_defect,rhs_even_fraction,rhs_odd_fraction,setup,solve,total,iterations,info,residual,accepted,complexity
192,1000.0,0,0,1e-06,0,0,amg0,3701,0.004208300000755116,0.0,9.999999999362156e-13,0.999999999999,0.04860069999995176,0.05906970000069123,0.10767040000064299,17,0,4.750130723359157e-10,True,1.3386725269834205
192,1000.0,0,0,1e-06,0,1,jacobi,3701,0.004208300000755116,0.0,9.999999999362156e-13,0.999999999999,0.00021769999966636533,0.1332339000000502,0.13345159999971656,595,0,9.48588117075369e-10,True,0.0
192,1000.0,0,0,1e-06,1,0,jacobi,3702,0.004208300000755116,0.0,9.999999999362156e-13,0.999999999999,0.0002389999999650172,0.1351886000002196,0.1354276000001846,595,0,9.48588117075369e-10,True,0.0
192,1000.0,0,0,1e-06,1,1,amg0,3702,0.004208300000755116,0.0,9.999999999362156e-13,0.999999999999,0.04914059999919118,0.07088759999987815,0.12002819999906933,17,0,4.782321912463869e-10,True,1.3386725269834205
192,1000.0,0,0,1e-06,2,0,amg0,3703,0.004208300000755116,0.0,9.999999999362156e-13,0.999999999999,0.053221299999677285,0.07009300000026997,0.12331429999994725,17,0,4.774385544466795e-10,True,1.3386725269834205
192,1000.0,0,0,1e-06,2,1,jacobi,3703,0.004208300000755116,0.0,9.999999999362156e-13,0.999999999999,0.0003057000003536814,0.14047429999936867,0.14077999999972235,595,0,9.48588117075369e-10,True,0.0
128,1000.0,0,1,0.0,0,0,amg0,3701,0.002617399999508052,0.0,5.312517350595355e-32,1.0,0.03125499999987369,0.02773180000076536,0.05898680000063905,15,0,2.457195035935465e-10,True,1.3399006034788783
128,1000.0,0,1,0.0,0,1,jacobi,3701,0.002617399999508052,0.0,5.312517350595355e-32,1.0,0.00017389999993611127,0.03701269999965007,0.03718659999958618,331,0,9.992668360691323e-10,True,0.0
128,1000.0,0,1,0.0,1,0,amg0,3702,0.002617399999508052,0.0,5.312517350595355e-32,1.0,0.029895599999690603,0.036156999999548134,0.06605259999923874,15,0,2.458961761909435e-10,True,1.3399006034788783
128,1000.0,0,1,0.0,1,1,jacobi,3702,0.002617399999508052,0.0,5.312517350595355e-32,1.0,0.00017590000061318278,0.035419699999692966,0.03559560000030615,331,0,9.992668360691323e-10,True,0.0
128,1000.0,0,1,0.0,2,0,jacobi,3703,0.002617399999508052,0.0,5.312517350595355e-32,1.0,8.84000000951346e-05,0.03904619999957504,0.03913459999967017,331,0,9.992668360691323e-10,True,0.0
128,1000.0,0,1,0.0,2,1,amg0,3703,0.002617399999508052,0.0,5.312517350595355e-32,1.0,0.028989600000386417,0.032701400000405556,0.06169100000079197,15,0,2.454088671242565e-10,True,1.3399006034788783
192,1000.0,0,0,0.0001,0,0,amg0,3701,0.0045163000004322384,0.0,9.999999899994246e-09,0.9999999899999998,0.056397800000013376,0.06947429999945598,0.12587209999946936,17,0,4.750848834764614e-10,True,1.3386725269834205
192,1000.0,0,0,0.0001,0,1,jacobi,3701,0.0045163000004322384,0.0,9.999999899994246e-09,0.9999999899999998,0.0003389000003153342,0.13165759999992588,0.1319965000002412,638,0,9.446754414849683e-10,True,0.0
192,1000.0,0,0,0.0001,1,0,amg0,3702,0.0045163000004322384,0.0,9.999999899994246e-09,0.9999999899999998,0.046786900000370224,0.06083330000001297,0.10762020000038319,17,0,4.782935941890652e-10,True,1.3386725269834205
192,1000.0,0,0,0.0001,1,1,jacobi,3702,0.0045163000004322384,0.0,9.999999899994246e-09,0.9999999899999998,0.0003934999995180988,0.12229200000001583,0.12268549999953393,638,0,9.446754414849683e-10,True,0.0
192,1000.0,0,0,0.0001,2,0,jacobi,3703,0.0045163000004322384,0.0,9.999999899994246e-09,0.9999999899999998,0.00023830000009184005,0.13034890000017185,0.1305872000002637,638,0,9.446754414849683e-10,True,0.0
192,1000.0,0,0,0.0001,2,1,amg0,3703,0.0045163000004322384,0.0,9.999999899994246e-09,0.9999999899999998,0.04924649999975372,0.06358819999968546,0.11283469999943918,17,0,4.776343629738556e-10,True,1.3386725269834205
128,1000.0,0,0,1.0,0,0,amg0,3701,0.0023020999997243052,0.0,0.5000000000000051,0.5000000000000001,0.02699769999981072,0.03084879999914847,0.05784649999895919,16,0,2.093595939551475e-10,True,1.3399006034788783
128,1000.0,0,0,1.0,0,1,jacobi,3701,0.0023020999997243052,0.0,0.5000000000000051,0.5000000000000001,0.00016709999999875436,0.05039980000037758,0.050566900000376336,458,0,9.73957772923826e-10,True,0.0
128,1000.0,0,0,1.0,1,0,jacobi,3702,0.0023020999997243052,0.0,0.5000000000000051,0.5000000000000001,0.00011700000050041126,0.047592200000508456,0.04770920000100887,458,0,9.73957772923826e-10,True,0.0
128,1000.0,0,0,1.0,1,1,amg0,3702,0.0023020999997243052,0.0,0.5000000000000051,0.5000000000000001,0.026732999999694584,0.027933800000027986,0.05466679999972257,16,0,2.149379655499224e-10,True,1.3399006034788783
128,1000.0,0,0,1.0,2,0,amg0,3703,0.0023020999997243052,0.0,0.5000000000000051,0.5000000000000001,0.025482499999270658,0.029673799999727635,0.05515629999899829,16,0,2.0767000845465232e-10,True,1.3399006034788783
128,1000.0,0,0,1.0,2,1,jacobi,3703,0.0023020999997243052,0.0,0.5000000000000051,0.5000000000000001,0.00017419999949197518,0.044600500000342436,0.04477469999983441,458,0,9.73957772923826e-10,True,0.0
192,1000.0,0,0,1e-08,0,0,jacobi,3701,0.004278000000340398,0.0,1.0000000007983763e-16,1.0,0.00016899999991437653,0.12204469999960565,0.12221369999952003,569,0,9.469729996058267e-10,True,0.0
192,1000.0,0,0,1e-08,0,1,amg0,3701,0.004278000000340398,0.0,1.0000000007983763e-16,1.0,0.05106390000037209,0.08341860000018642,0.1344825000005585,17,0,4.75209435702707e-10,True,1.3386725269834205
192,1000.0,0,0,1e-08,1,0,amg0,3702,0.004278000000340398,0.0,1.0000000007983763e-16,1.0,0.05019050000009884,0.06796729999950912,0.11815779999960796,17,0,4.780324934613482e-10,True,1.3386725269834205
192,1000.0,0,0,1e-08,1,1,jacobi,3702,0.004278000000340398,0.0,1.0000000007983763e-16,1.0,0.0003780999995797174,0.11793699999998353,0.11831509999956324,569,0,9.469729996058267e-10,True,0.0
