n,contrast,geometry,shift,rhs,method,repeat,order,seed,setup,solve,total,iterations,info,residual,accepted,complexity,levels
192,1000.0,disconnected,0,odd_x,rs025,1,7,12402,0.0313588000008167,0.03905739999936486,0.07041620000018156,11,0,1.93057044845583e-10,True,2.204167130299321,8
192,1000.0,disconnected,0,odd_x,amg025,2,0,12403,0.040745000000242726,0.26047429999925953,0.30121929999950225,83,0,5.982401080627357e-10,True,1.3057471903861133,4
192,1000.0,disconnected,0,random,amg025,2,1,12403,0.043285700001433725,0.2626144999994722,0.3059002000009059,82,0,9.219910162477061e-10,True,1.3057471903861133,4
192,1000.0,disconnected,0,random,rs025,2,2,12403,0.032547700000577606,0.035514299999704235,0.06806200000028184,10,0,1.8698166390610062e-10,True,2.204167130299321,8
192,1000.0,disconnected,0,odd_x,amg0,2,3,12403,0.0425783999999112,0.05756949999886274,0.10014789999877394,17,0,4.776758707628359e-10,True,1.3386725269834205,5
192,1000.0,disconnected,0,odd_x,rs025,2,4,12403,0.03341550000004645,0.041001900000992464,0.07441740000103891,11,0,1.93057044845583e-10,True,2.204167130299321,8
192,1000.0,disconnected,0,random,jacobi,2,5,12403,0.0004118000015296275,0.1850510000003851,0.18546280000191473,949,0,9.941891616592456e-10,True,0.0,0
192,1000.0,disconnected,0,odd_x,jacobi,2,6,12403,0.00030809999952907674,0.08482289999847126,0.08513099999800033,403,0,9.076303314903551e-10,True,0.0,0
192,1000.0,disconnected,0,random,amg0,2,7,12403,0.043805600000268896,0.04852930000015476,0.09233490000042366,15,0,8.841281920324844e-10,True,1.3386725269834205,5
192,1000.0,disconnected,0,odd_x,rs025,3,0,12404,0.03260740000041551,0.03872810000029858,0.07133550000071409,11,0,1.93057044845583e-10,True,2.204167130299321,8
192,1000.0,disconnected,0,random,amg0,3,1,12404,0.0464031999999861,0.050439700000424637,0.09684290000041074,15,0,8.825651686655202e-10,True,1.3386725269834205,5
192,1000.0,disconnected,0,odd_x,jacobi,3,2,12404,0.0003532999999151798,0.101845899998807,0.10219919999872218,403,0,9.076303314903551e-10,True,0.0,0
192,1000.0,disconnected,0,random,amg025,3,3,12404,0.0399598000003607,0.2596401999999216,0.2996000000002823,82,0,9.207485149757758e-10,True,1.3057471903861133,4
192,1000.0,disconnected,0,odd_x,amg0,3,4,12404,0.04618130000017118,0.05772450000040408,0.10390580000057525,17,0,4.764382397986144e-10,True,1.3386725269834205,5
192,1000.0,disconnected,0,odd_x,amg025,3,5,12404,0.04171390000010433,0.2545193999994808,0.29623329999958514,83,0,5.977001245856048e-10,True,1.3057471903861133,4
192,1000.0,disconnected,0,random,rs025,3,6,12404,0.03077379999922414,0.03503400000045076,0.0658077999996749,10,0,1.8698166390610062e-10,True,2.204167130299321,8
192,1000.0,disconnected,0,random,jacobi,3,7,12404,0.0002814999988913769,0.17251560000113386,0.17279710000002524,949,0,9.941891616592456e-10,True,0.0,0
192,1000.0,disconnected,0,odd_x,rs025,4,0,12405,0.032054499999503605,0.03861040000083449,0.0706649000003381,11,0,1.93057044845583e-10,True,2.204167130299321,8
192,1000.0,disconnected,0,random,amg0,4,1,12405,0.04169290000027104,0.04762190000110422,0.08931480000137526,15,0,8.831636031810929e-10,True,1.3386725269834205,5
192,1000.0,disconnected,0,random,rs025,4,2,12405,0.03185020000091754,0.0355851000003895,0.06743530000130704,10,0,1.8698166390610062e-10,True,2.204167130299321,8
192,1000.0,disconnected,0,random,amg025,4,3,12405,0.041253400000641705,0.2901205999987724,0.3313739999994141,82,0,9.204471710208554e-10,True,1.3057471903861133,4
192,1000.0,disconnected,0,random,jacobi,4,4,12405,0.0002516999993531499,0.24721870000030322,0.24747039999965637,949,0,9.941891616592456e-10,True,0.0,0
192,1000.0,disconnected,0,odd_x,amg025,4,5,12405,0.04934839999987162,0.2973242999996728,0.3466726999995444,83,0,5.975586300648713e-10,True,1.3057471903861133,4
192,1000.0,disconnected,0,odd_x,amg0,4,6,12405,0.05859229999987292,0.06065099999977974,0.11924329999965266,17,0,4.768670057001488e-10,True,1.3386725269834205,5
192,1000.0,disconnected,0,odd_x,jacobi,4,7,12405,0.0003209999995306134,0.08385249999992084,0.08417349999945145,403,0,9.076303314903551e-10,True,0.0,0
128,1000.0,connected,0,random,jacobi,0,0,12401,0.0001716999995551305,0.06361200000173994,0.06378370000129507,577,0,8.785575928690151e-10,True,0.0,0
128,1000.0,connected,0,odd_x,rs025,0,1,12401,0.027077499998995336,0.024996600001031766,0.0520741000000271,12,0,1.3717001565012148e-10,True,2.1960672447892895,7
128,1000.0,connected,0,odd_x,amg025,0,2,12401,0.027551799999855575,0.09416809999856923,0.12171989999842481,52,0,4.797616513452892e-10,True,1.3036791926568285,4
128,1000.0,connected,0,random,amg0,0,3,12401,0.028978700000152458,0.022485699999378994,0.05146439999953145,12,0,3.306892957595596e-10,True,1.3399006034788783,5
128,1000.0,connected,0,random,rs025,0,4,12401,0.01842690000012226,0.018567899998743087,0.036994799998865346,10,0,8.750926747715153e-10,True,2.1960672447892895,7
128,1000.0,connected,0,random,amg025,0,5,12401,0.02688010000019858,0.09032900000056543,0.11720910000076401,50,0,6.638577414728771e-10,True,1.3036791926568285,4
128,1000.0,connected,0,odd_x,amg0,0,6,12401,0.0282669000007445,0.02863950000028126,0.05690640000102576,14,0,1.3622595014057506e-10,True,1.3399006034788783,5
128,1000.0,connected,0,odd_x,jacobi,0,7,12401,0.00015220000022964086,0.06498459999966144,0.06513679999989108,585,0,9.431822207453842e-10,True,0.0,0
