n,contrast,geometry,average,rhs,method,count,iterations,median_total,all_accepted,max_residual
128,10000.0,disconnected,harmonic,random,jacobi,2,663.0,0.0688785999996071,True,9.402774179601426e-09
128,10000.0,disconnected,harmonic,ones,jacobi,2,374.0,0.03230954999980895,True,1.1839923086529854e-08
128,10000.0,disconnected,harmonic,ones,cg,2,6418.0,0.5367579499993553,True,4.619118445337189e-08
128,10000.0,disconnected,harmonic,dipole,jacobi,2,258.0,0.03108180000072025,True,9.543102803139851e-09
128,10000.0,disconnected,harmonic,ones,amg0,2,16.0,0.04852290000053472,True,4.02149124899884e-09
128,10000.0,disconnected,harmonic,random,cg,2,8000.0,0.6616135499998563,False,1.4321897378513642e-06
128,10000.0,disconnected,harmonic,dipole,cg,2,5426.0,0.5047176499997477,True,6.8514030117601706e-09
128,10000.0,disconnected,harmonic,dipole,amg025,2,58.0,0.11671390000037718,True,8.740479532935741e-09
128,10000.0,connected,arithmetic,random,jacobi,2,590.0,0.055440399999952206,True,9.920240840639775e-09
128,10000.0,connected,arithmetic,random,amg025,2,52.0,0.1000343000000612,True,5.302971332214306e-09
128,10000.0,connected,arithmetic,dipole,amg0,2,13.0,0.04575005000015153,True,3.4171117140117643e-09
128,10000.0,connected,arithmetic,dipole,cg,2,8000.0,0.6528568999997333,False,0.005332950563225469
128,10000.0,connected,arithmetic,ones,amg025,2,54.0,0.09934255000007397,True,6.108949739743341e-09
128,10000.0,connected,arithmetic,ones,jacobi,2,618.0,0.050471249999645806,True,1.4532273590968667e-08
128,10000.0,connected,arithmetic,dipole,jacobi,2,596.0,0.05480044999967504,True,9.7265341880423e-09
128,10000.0,connected,arithmetic,random,cg,2,8000.0,0.6418078500000775,False,0.0003602405185439428
128,10000.0,connected,arithmetic,dipole,amg025,2,52.0,0.09560124999961772,True,8.152289343278174e-09
128,10000.0,connected,arithmetic,random,amg0,2,11.0,0.04119284999978845,True,6.744269472408554e-09
128,10000.0,connected,arithmetic,ones,amg0,2,13.0,0.041900649999661255,True,5.118120635253735e-09
128,10000.0,connected,arithmetic,ones,cg,2,8000.0,0.6928929499999867,False,0.0014152958178436667
128,10000.0,connected,harmonic,ones,amg025,2,52.0,0.10756080000010115,True,7.70017558649554e-09
128,10000.0,connected,harmonic,random,amg025,2,50.0,0.10272144999999,True,7.161531221758028e-09
128,10000.0,connected,harmonic,random,amg0,2,11.0,0.05085205000068527,True,4.024548790971198e-09
128,10000.0,connected,harmonic,random,cg,2,8000.0,0.6999299000003703,False,0.00017000422346301734
128,10000.0,connected,harmonic,dipole,cg,2,8000.0,0.6779429000002892,False,0.0004850958370630913
128,10000.0,connected,harmonic,ones,cg,2,8000.0,0.6392291500001193,False,0.003419340845583013
128,10000.0,connected,harmonic,dipole,amg025,2,52.0,0.10561379999990095,True,5.206537893150221e-09
128,10000.0,connected,harmonic,ones,jacobi,2,605.0,0.05217474999926708,True,1.5121624580454434e-08
128,10000.0,connected,harmonic,dipole,amg0,2,13.0,0.04053474999955142,True,1.6733183522492704e-09
128,10000.0,connected,harmonic,ones,amg0,2,13.0,0.04421540000021196,True,2.775153340475609e-09
