n,contrast,motif,shift,rhs,method,repeat,order,seed,setup,solve,total,iterations,info,residual,accepted,complexity,levels
192,1000.0,two_by_eight,1,random,amg0,3,18,13404,0.04772460000094725,0.051022999999986496,0.09874760000093374,14,0,3.209929282891537e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,0,random,jacobi,3,19,13404,0.00030019999940122943,0.2342263999998977,0.23452659999929892,949,0,9.941891616592456e-10,True,0.0,0
192,1000.0,three_by_six,1,odd_x,rs025,3,20,13404,0.045013200000539655,0.05050919999848702,0.09552239999902667,13,0,4.5976562271198307e-10,True,2.1999221097140316,8
192,1000.0,three_by_six,0,odd_x,rs025,3,21,13404,0.03556079999907524,0.05482969999866327,0.09039049999773852,12,0,1.9283441204080997e-10,True,2.1991932791810394,8
192,1000.0,two_by_eight,0,odd_x,jacobi,3,22,13404,0.00038780000068072695,0.08268520000092394,0.08307300000160467,403,0,9.076303314903551e-10,True,0.0,0
192,1000.0,two_by_eight,0,odd_x,rs025,3,23,13404,0.04005969999889203,0.04837190000034752,0.08843159999923955,11,0,1.93057044845583e-10,True,2.204167130299321,8
192,1000.0,three_by_six,0,random,rs025,4,0,13405,0.038826599999083555,0.03662929999882181,0.07545589999790536,10,0,8.762562069413869e-10,True,2.1991932791810394,8
192,1000.0,three_by_six,1,random,jacobi,4,1,13405,0.00036589999945135787,0.2832545000001119,0.28362039999956323,952,0,9.485350330749907e-10,True,0.0,0
192,1000.0,two_by_eight,1,random,rs025,4,2,13405,0.038555900000574184,0.05312690000027942,0.0916828000008536,11,0,1.6185291937575478e-10,True,2.2042172026260154,8
192,1000.0,three_by_six,1,odd_x,jacobi,4,3,13405,0.0005287000003590947,0.1718170000003738,0.1723457000007329,677,0,9.86997938544521e-10,True,0.0,0
192,1000.0,two_by_eight,1,odd_x,amg0,4,4,13405,0.05107040000075358,0.06173490000037418,0.11280530000112776,16,0,1.635755301958398e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,0,random,jacobi,4,5,13405,0.001400699999067001,0.2565663000004861,0.2579669999995531,951,0,9.931286841477768e-10,True,0.0,0
192,1000.0,two_by_eight,0,odd_x,jacobi,4,6,13405,0.0004320999996707542,0.10559290000128385,0.1060250000009546,403,0,9.076303314903551e-10,True,0.0,0
192,1000.0,three_by_six,0,odd_x,rs025,4,7,13405,0.040150200000425684,0.05129740000120364,0.09144760000162933,12,0,1.9283441204080997e-10,True,2.1991932791810394,8
192,1000.0,two_by_eight,0,random,jacobi,4,8,13405,0.00047989999984565657,0.2560078999995312,0.2564877999993769,949,0,9.941891616592456e-10,True,0.0,0
192,1000.0,two_by_eight,0,random,rs025,4,9,13405,0.04305729999941832,0.04940259999966656,0.09245989999908488,10,0,1.8698166390610062e-10,True,2.204167130299321,8
192,1000.0,three_by_six,1,odd_x,amg0,4,10,13405,0.05938570000034815,0.07582179999917571,0.13520749999952386,16,0,3.7281000041244743e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,odd_x,jacobi,4,11,13405,0.00031379999927594326,0.17680860000109533,0.17712240000037127,677,0,9.746160329003246e-10,True,0.0,0
192,1000.0,two_by_eight,1,random,amg0,4,12,13405,0.054974499998934334,0.06846460000087973,0.12343909999981406,14,0,3.2592575087409765e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,0,random,amg0,4,13,13405,0.04127369999878283,0.05887739999889163,0.10015109999767446,16,0,2.1104292103761464e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,0,odd_x,jacobi,4,14,13405,0.0002722999997786246,0.0961064000002807,0.09637870000005933,424,0,9.925992214146663e-10,True,0.0,0
192,1000.0,two_by_eight,0,random,amg0,4,15,13405,0.05043139999906998,0.06485390000125335,0.11528530000032333,15,0,8.816882804473545e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,odd_x,rs025,4,16,13405,0.040409100000033504,0.04729799999950046,0.08770709999953397,12,0,3.9635736687167694e-10,True,2.2042172026260154,8
192,1000.0,three_by_six,1,random,rs025,4,17,13405,0.0350525000012567,0.04246710000006715,0.07751960000132385,11,0,8.916570637949889e-10,True,2.1999221097140316,8
192,1000.0,three_by_six,1,random,amg0,4,18,13405,0.04672089999985474,0.04761810000127298,0.09433900000112772,14,0,7.348319520008914e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,random,jacobi,4,19,13405,0.0004410999990795972,0.21706740000081481,0.2175084999998944,953,0,9.762198060529e-10,True,0.0,0
192,1000.0,two_by_eight,0,odd_x,rs025,4,20,13405,0.036063800000192714,0.047451899999941816,0.08351570000013453,11,0,1.93057044845583e-10,True,2.204167130299321,8
192,1000.0,three_by_six,1,odd_x,rs025,4,21,13405,0.03970829999889247,0.05397179999999935,0.09368009999889182,13,0,4.5976562271198307e-10,True,2.1999221097140316,8
192,1000.0,three_by_six,0,odd_x,amg0,4,22,13405,0.05266170000140846,0.0770353999996587,0.12969710000106716,18,0,2.0527218233160361e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,0,odd_x,amg0,4,23,13405,0.04462729999977455,0.06501559999924211,0.10964289999901666,17,0,4.756514067816305e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,0,random,jacobi,5,0,13406,0.00039119999928516336,0.22793949999868346,0.22833069999796862,951,0,9.931286841477768e-10,True,0.0,0
192,1000.0,three_by_six,1,random,jacobi,5,1,13406,0.0004067999998369487,0.2368341999990662,0.23724099999890313,952,0,9.485350330749907e-10,True,0.0,0
192,1000.0,two_by_eight,0,random,jacobi,5,2,13406,0.00043480000022100285,0.23927560000083758,0.2397104000010586,949,0,9.941891616592456e-10,True,0.0,0
192,1000.0,two_by_eight,1,odd_x,rs025,5,3,13406,0.0400883000002068,0.046541900001102476,0.08663020000130928,12,0,3.9635736687167694e-10,True,2.2042172026260154,8
192,1000.0,two_by_eight,1,random,rs025,5,4,13406,0.03342200000042794,0.045778000001519104,0.07920000000194705,11,0,1.6185291937575478e-10,True,2.2042172026260154,8
192,1000.0,two_by_eight,0,odd_x,amg0,5,5,13406,0.05277399999977206,0.0860422000005201,0.13881620000029216,17,0,4.748384949216161e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,1,odd_x,jacobi,5,6,13406,0.0004332999997131992,0.1959459000008792,0.1963792000005924,677,0,9.86997938544521e-10,True,0.0,0
192,1000.0,three_by_six,0,random,amg0,5,7,13406,0.05802820000099018,0.07517639999969106,0.13320460000068124,16,0,2.1024152415393238e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,random,amg0,5,8,13406,0.05927979999978561,0.06015109999862034,0.11943089999840595,14,0,3.2616358252976824e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,0,odd_x,jacobi,5,9,13406,0.000422800001615542,0.09783559999959834,0.09825840000121389,403,0,9.076303314903551e-10,True,0.0,0
192,1000.0,three_by_six,1,odd_x,amg0,5,10,13406,0.052107400000750204,0.06592909999926633,0.11803650000001653,16,0,3.7228274336827587e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,0,odd_x,rs025,5,11,13406,0.03446599999915634,0.05638899999939895,0.09085499999855529,12,0,1.9283441204080997e-10,True,2.1991932791810394,8
192,1000.0,two_by_eight,1,odd_x,amg0,5,12,13406,0.05687289999877976,0.06964549999975134,0.1265183999985311,16,0,1.6353799786507294e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,0,odd_x,rs025,5,13,13406,0.04159600000093633,0.047026299998833565,0.0886222999997699,11,0,1.93057044845583e-10,True,2.204167130299321,8
192,1000.0,three_by_six,0,odd_x,jacobi,5,14,13406,0.00041310000051453244,0.11127529999976105,0.11168840000027558,424,0,9.925992214146663e-10,True,0.0,0
192,1000.0,two_by_eight,1,odd_x,jacobi,5,15,13406,0.0003811999995377846,0.15408040000147594,0.15446160000101372,677,0,9.746160329003246e-10,True,0.0,0
192,1000.0,two_by_eight,0,random,rs025,5,16,13406,0.036373099999764236,0.04275030000098923,0.07912340000075346,10,0,1.8698166390610062e-10,True,2.204167130299321,8
192,1000.0,three_by_six,1,odd_x,rs025,5,17,13406,0.04299749999881897,0.061345099999016384,0.10434259999783535,13,0,4.5976562271198307e-10,True,2.1999221097140316,8
192,1000.0,two_by_eight,0,random,amg0,5,18,13406,0.054744000000937376,0.07499939999979688,0.12974340000073425,15,0,8.810092279943502e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,random,jacobi,5,19,13406,0.0003243000010115793,0.2616065999991406,0.2619309000001522,953,0,9.762198060529e-10,True,0.0,0
192,1000.0,three_by_six,1,random,rs025,5,20,13406,0.04055499999958556,0.05055229999925359,0.09110729999883915,11,0,8.916570637949889e-10,True,2.1999221097140316,8
192,1000.0,three_by_six,0,random,rs025,5,21,13406,0.0453403999999864,0.04288799999994808,0.08822839999993448,10,0,8.762562069413869e-10,True,2.1991932791810394,8
192,1000.0,three_by_six,1,random,amg0,5,22,13406,0.050437400001101196,0.0599021999987599,0.1103395999998611,14,0,7.344079278919994e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,0,odd_x,amg0,5,23,13406,0.05508689999987837,0.08413649999965855,0.13922339999953692,18,0,2.0447552116285973e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,random,jacobi,6,0,13407,0.0004031999997096136,0.24402679999911925,0.24442999999882886,953,0,9.762198060529e-10,True,0.0,0
192,1000.0,three_by_six,1,odd_x,rs025,6,1,13407,0.04118600000037986,0.05013320000034582,0.09131920000072569,13,0,4.5976562271198307e-10,True,2.1999221097140316,8
192,1000.0,two_by_eight,0,random,rs025,6,2,13407,0.04470630000105302,0.043970700000500074,0.0886770000015531,10,0,1.8698166390610062e-10,True,2.204167130299321,8
192,1000.0,three_by_six,0,random,rs025,6,3,13407,0.034831700000722776,0.04306840000026568,0.07790010000098846,10,0,8.762562069413869e-10,True,2.1991932791810394,8
192,1000.0,two_by_eight,1,random,amg0,6,4,13407,0.06254830000034417,0.05917559999943478,0.12172389999977895,14,0,3.2515953312225673e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,odd_x,jacobi,6,5,13407,0.00026839999918593094,0.14793570000074396,0.1482040999999299,677,0,9.746160329003246e-10,True,0.0,0
192,1000.0,three_by_six,1,random,amg0,6,6,13407,0.052688199999465724,0.06025490000138234,0.11294310000084806,14,0,7.364752200013008e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,0,odd_x,rs025,6,7,13407,0.039109499999540276,0.048860400000194204,0.08796989999973448,12,0,1.9283441204080997e-10,True,2.1991932791810394,8
