n,contrast,geometry,average,rhs,repeat,order,method,seed,reflection_x,reflection_y,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,complexity
192,1000.0,components1_32,harmonic,dipole_x,4,0,amg0,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.041209999999409774,0.053428299999723095,0.09463829999913287,15,0,2.7870555498433797e-10,True,1.3386725269834205
192,1000.0,components1_32,harmonic,random,4,1,jacobi,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0002113999998982763,0.15990419999980077,0.16011559999969904,877,0,9.822947352731497e-10,True,0.0
192,1000.0,components1_32,harmonic,dipole_x,4,2,jacobi,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00013979999948787736,0.17185310000058962,0.1719929000000775,904,0,9.833006685581348e-10,True,0.0
192,1000.0,components1_32,harmonic,ones,4,3,amg0,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.041629700000157754,0.04937399999926129,0.09100369999941904,15,0,5.029939455603442e-10,True,1.3386725269834205
192,1000.0,components1_32,harmonic,dipole_y,4,4,jacobi,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0002274999997098348,0.1672816000000239,0.16750909999973373,906,0,9.872285847791913e-10,True,0.0
192,1000.0,components1_32,harmonic,random,4,5,amg0,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.042424600000231294,0.04122359999928449,0.08364819999951578,13,0,2.260908472791998e-10,True,1.3386725269834205
192,1000.0,components1_32,harmonic,ones,4,6,jacobi,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00025910000022122404,0.16179620000002615,0.16205530000024737,906,0,2.800261512325722e-09,True,0.0
192,1000.0,components1_32,harmonic,dipole_y,4,7,amg0,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04124580000006972,0.04601989999991929,0.08726569999998901,15,0,5.758604390141287e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,dipole_x,0,0,jacobi,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00013000000035390258,0.14986419999968348,0.14999420000003738,896,0,9.969478092037873e-10,True,0.0
192,1000.0,components1_77,harmonic,dipole_x,0,1,amg0,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04190870000002178,0.046284799999739334,0.08819349999976112,15,0,5.773362898454198e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,random,0,2,jacobi,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00021379999998316634,0.14545599999928527,0.14566979999926843,870,0,9.70666854338555e-10,True,0.0
192,1000.0,components1_77,harmonic,ones,0,3,jacobi,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0001627000001462875,0.15338900000006106,0.15355170000020735,897,0,2.764682391661647e-09,True,0.0
192,1000.0,components1_77,harmonic,dipole_y,0,4,jacobi,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0001322999996773433,0.14993239999967045,0.1500646999993478,901,0,9.835187296668944e-10,True,0.0
192,1000.0,components1_77,harmonic,dipole_y,0,5,amg0,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.040927000000010594,0.04853779999939434,0.08946479999940493,15,0,9.476987666206597e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,ones,0,6,amg0,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.041261800000029325,0.04879220000020723,0.09005400000023656,15,0,8.228084985102926e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,random,0,7,amg0,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.041986199999882956,0.04164530000070954,0.0836315000005925,13,0,2.3108891794985094e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,random,1,0,jacobi,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0002522000004319125,0.14582879999943543,0.14608099999986734,870,0,9.70666854338555e-10,True,0.0
192,1000.0,components1_77,harmonic,ones,1,1,amg0,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04165180000018154,0.04971800000021176,0.0913698000003933,15,0,8.390135613794525e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,dipole_x,1,2,amg0,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.042698899999777495,0.048023299999840674,0.09072219999961817,15,0,5.796561052543568e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,dipole_x,1,3,jacobi,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.000370699999621138,0.15961460000016814,0.15998529999978928,896,0,9.969478092037873e-10,True,0.0
