n,contrast,geometry,average,rhs,repeat,method,order,seed,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,levels,complexity
64,10000.0,connected,harmonic,random,0,amg025,10,731,192,469.703125,12697.142857142857,410.2997304458171,1,0.006787199999962468,0.010200200000326731,0.0169874000002892,24,0,6.863175499781215e-09,True,3,1.3029728020240354
64,10000.0,connected,harmonic,dipole,0,jacobi,11,731,192,469.703125,12697.142857142857,410.2997304458171,1,3.9399999877787195e-05,0.018003399999543035,0.018042799999420822,291,0,9.619221781759218e-09,True,0,0.0
64,10000.0,connected,harmonic,random,1,cg,12,732,192,469.703125,12697.142857142857,410.2997304458171,1,1.5000005078036338e-06,0.12336249999952997,0.12336400000003778,3820,0,9.383199489713535e-09,True,0,0.0
64,10000.0,connected,harmonic,random,0,cg,13,731,192,469.703125,12697.142857142857,410.2997304458171,1,7.999997251317836e-07,0.12098629999945842,0.12098709999918356,3820,0,9.383199489713535e-09,True,0,0.0
64,10000.0,connected,harmonic,random,1,amg025,14,732,192,469.703125,12697.142857142857,410.2997304458171,1,0.007484699999622535,0.010691200000110257,0.018175899999732792,24,0,7.123869082187077e-09,True,3,1.3029728020240354
64,10000.0,connected,harmonic,ones,1,amg0,15,732,192,469.703125,12697.142857142857,410.2997304458171,1,0.007767099999909988,0.00599190000048111,0.013759000000391097,12,0,1.956577727155105e-09,True,4,1.3290638836179633
64,10000.0,connected,harmonic,ones,1,cg,16,732,192,469.703125,12697.142857142857,410.2997304458171,1,1.100000190490391e-06,0.11943009999959031,0.1194311999997808,3817,0,1.1262248089381687e-08,True,0,0.0
64,10000.0,connected,harmonic,dipole,0,amg025,17,731,192,469.703125,12697.142857142857,410.2997304458171,1,0.00710720000006404,0.012391099999149446,0.019498299999213486,25,0,2.596456095448694e-09,True,3,1.3029728020240354
64,10000.0,connected,harmonic,dipole,1,amg0,18,732,192,469.703125,12697.142857142857,410.2997304458171,1,0.008369900000616326,0.006391900000380701,0.014761800000997027,12,0,1.4335435097871938e-09,True,4,1.3290638836179633
64,10000.0,connected,harmonic,dipole,1,cg,19,732,192,469.703125,12697.142857142857,410.2997304458171,1,8.999995770864189e-07,0.10862279999946622,0.10862369999904331,3684,0,9.263588275589398e-09,True,0,0.0
