n,contrast,geometry,variant,average,rhs,jacobi_seconds,jacobi_iterations,amg0_seconds,amg0_iterations,winner,jacobi_to_amg,all_accepted,stable,jacobi_wins,min_paired_ratio,max_paired_ratio,max_residual
192,1000.0,connected,centered,harmonic,dipole_x,0.16128570000000764,886,0.10023819999969419,15,amg0,1.6090243041126007,True,True,0,1.496084961364697,1.7354920765967374,1.0046020137480822e-09
96,1000.0,disconnected,transpose,arithmetic,dipole_x,0.01097239999944577,199,0.030309200000374403,16,jacobi,0.362015493622736,True,True,5,0.34942919157297464,0.3870987798277721,9.403063198193003e-10
96,1000.0,disconnected,transpose,arithmetic,dipole_y,0.013838699999723758,243,0.030907899999874644,16,jacobi,0.44773989820660365,True,True,5,0.4226770431659421,0.4736030841448229,9.556965473856579e-10
96,1000.0,disconnected,transpose,arithmetic,random,0.02640279999923223,470,0.028803600001083396,14,jacobi,0.9166493076642898,True,False,3,0.8554461113160757,1.1592773339769697,9.862819459200303e-10
96,1000.0,disconnected,transpose,arithmetic,ones,0.015611099999659928,275,0.03049040000041714,16,jacobi,0.5120004984994081,True,True,5,0.4949793304660581,0.5557290163180137,9.459378857151915e-10
128,1000.0,connected,shift_x,harmonic,dipole_x,0.05280250000032538,585,0.04499329999998736,13,amg0,1.173563619479794,True,True,0,1.0872354990198656,1.227704320990217,9.571213408655863e-10
128,1000.0,connected,shift_x,harmonic,dipole_y,0.055709500000375556,604,0.045036000000436616,13,amg0,1.2369992894536697,True,True,0,1.143836686742451,1.3396823853909439,9.28011702158318e-10
128,1000.0,connected,shift_x,harmonic,random,0.05145670000001701,577,0.04328270000041812,12,amg0,1.1888514348578052,True,True,0,1.0928815001320449,1.264359663320023,9.305199660030066e-10
128,1000.0,connected,shift_x,harmonic,ones,0.05310879999979079,595,0.04512420000082784,13,amg0,1.1769471813088423,True,True,0,1.1529401075071162,1.309596246156173,1.4727564180288683e-09
192,1000.0,connected,centered,arithmetic,random,0.16816170000038255,888,0.09095819999947707,13,amg0,1.8487799890647498,True,True,0,1.6745748571517893,1.9734803060204447,9.413058679098936e-10
192,1000.0,connected,centered,arithmetic,dipole_x,0.1632045999986076,888,0.09750640000038402,15,amg0,1.6737834644491523,True,True,0,1.525855377403748,1.880880016244533,9.611456551844358e-10
192,1000.0,connected,centered,arithmetic,ones,0.16326979999939795,918,0.1022462999999334,15,amg0,1.5968284426869657,True,True,0,1.5416123103793307,1.7534209061856691,2.896155605550217e-09
192,1000.0,connected,centered,arithmetic,dipole_y,0.17303739999988466,915,0.09558660000129748,15,amg0,1.8102683848733594,True,True,0,1.6840049244154993,1.885804447193821,9.581394324361504e-10
128,1000.0,connected,transpose,arithmetic,dipole_y,0.053384900000310154,605,0.04673269999966578,14,amg0,1.142345723672973,True,True,0,1.0900728350220998,1.2189870786493773,1.0008735461071778e-09
128,1000.0,connected,transpose,arithmetic,random,0.050570999999763444,578,0.043186200000491226,12,amg0,1.1709990691282914,True,True,0,1.0575481944391167,1.2516498796132476,9.360284500119799e-10
128,1000.0,connected,transpose,arithmetic,dipole_x,0.05285530000037397,589,0.04758999999921798,14,amg0,1.1106387896878023,True,True,0,1.063745206633075,1.1593422988318691,9.178264483422089e-10
128,1000.0,connected,transpose,arithmetic,ones,0.05543969999962428,608,0.0473082999997132,14,amg0,1.1718810441288394,True,True,0,1.054744414024674,1.2303175938240265,1.4568808840087441e-09
192,1000.0,connected,transpose,harmonic,dipole_x,0.17126629999984289,886,0.08767640000041865,13,amg0,1.953391106375548,True,True,0,1.831704837946303,2.0367065709639585,1.0019569121554888e-09
192,1000.0,connected,transpose,harmonic,dipole_y,0.16566489999968326,906,0.08748439999999391,13,amg0,1.8936507537308913,True,True,0,1.7904521376759694,1.9481047049861269,9.97566573709954e-10
192,1000.0,connected,transpose,harmonic,ones,0.16335139999955572,909,0.08636590000060096,13,amg0,1.8913876888727967,True,True,0,1.8014950481835346,1.9977651394294038,2.821513728549962e-09
192,1000.0,connected,transpose,harmonic,random,0.15494589999980235,870,0.0823129999998855,12,amg0,1.8823988920342822,True,True,0,1.754091753981235,1.9629112283461323,9.59855889891599e-10
128,1000.0,disconnected,transpose,arithmetic,dipole_y,0.02917079999951966,327,0.0512326000007306,17,jacobi,0.569379652781699,True,True,5,0.5473389989810544,0.610463196454022,9.905692070265295e-10
128,1000.0,disconnected,transpose,arithmetic,ones,0.0316594999994777,368,0.05080790000010893,17,jacobi,0.6231216011567065,True,True,5,0.61718006006294,0.6962074759807797,1.327991294630894e-09
128,1000.0,disconnected,transpose,arithmetic,dipole_x,0.024118000000271422,267,0.05173839999952179,17,jacobi,0.466152799477648,True,True,5,0.4235279927110118,0.5340925774913012,9.900099669016737e-10
128,1000.0,disconnected,transpose,arithmetic,random,0.06086059999961435,635,0.047911699999531265,15,amg0,1.270265926698693,True,True,0,1.1910168544687691,1.2761454926589288,9.284074799764309e-10
96,1000.0,disconnected,centered,harmonic,random,0.026042299999971874,470,0.031026600000586768,14,jacobi,0.8393539736703142,True,True,5,0.7249002580467532,0.9901793944254647,9.422788245846294e-10
96,1000.0,disconnected,centered,harmonic,ones,0.016619600000012724,276,0.028880599999865808,15,jacobi,0.5754589586120076,True,True,5,0.4612234196721185,0.5841933578976349,9.926990720174024e-10
96,1000.0,disconnected,centered,harmonic,dipole_y,0.01466789999994944,246,0.0306548999997176,15,jacobi,0.47848467945041623,True,True,5,0.4456661364024175,0.48546235674954596,8.471699118331582e-10
96,1000.0,disconnected,centered,harmonic,dipole_x,0.011811999999736145,197,0.030037299999094103,15,jacobi,0.39324439946640954,True,True,5,0.3713854238739234,0.42010433699674227,9.461492820288712e-10
192,1000.0,disconnected,shift_x,harmonic,random,0.18543269999918266,953,0.09125309999944875,14,amg0,2.0320701433737907,True,True,0,1.921620895119102,2.162386489929305,9.762198060529e-10
