n,contrast,geometry,variant,average,rhs,repeat,order,method,seed,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,complexity
128,1000.0,disconnected,centered,arithmetic,ones,1,3,amg0,1702,768,47.828125,1258.5826771653544,620.3341162692709,2,0.021715500000027532,0.02492160000019794,0.04663710000022547,16,0,4.171049744480764e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,dipole_y,1,4,jacobi,1702,768,47.828125,1258.5826771653544,620.3341162692709,2,7.409999943774892e-05,0.02826519999962329,0.02833929999906104,327,0,9.968340188268084e-10,True,0.0
128,1000.0,disconnected,centered,arithmetic,dipole_y,1,5,amg0,1702,768,47.828125,1258.5826771653544,620.3341162692709,2,0.02131680000002234,0.024911299999985204,0.046228100000007544,16,0,3.260107960293626e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,dipole_x,1,6,jacobi,1702,768,47.828125,1258.5826771653544,620.3341162692709,2,9.060000047611538e-05,0.024066999999377003,0.02415759999985312,267,0,9.90014285829128e-10,True,0.0
128,1000.0,disconnected,centered,arithmetic,random,1,7,amg0,1702,768,47.828125,1258.5826771653544,620.3341162692709,2,0.021519899999475456,0.023514800000157265,0.04503469999963272,14,0,7.476423055046681e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,ones,2,0,amg0,1703,768,47.828125,1258.5826771653544,620.3341162692709,2,0.022578499999326596,0.024060499999905005,0.0466389999992316,16,0,4.1472844075787477e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,dipole_x,2,1,jacobi,1703,768,47.828125,1258.5826771653544,620.3341162692709,2,7.400000049528899e-05,0.023235299999214476,0.023309299999709765,267,0,9.90014285829128e-10,True,0.0
128,1000.0,disconnected,centered,arithmetic,dipole_y,2,2,jacobi,1703,768,47.828125,1258.5826771653544,620.3341162692709,2,7.129999994504033e-05,0.030668600000353763,0.030739900000298803,327,0,9.968340188268084e-10,True,0.0
128,1000.0,disconnected,centered,arithmetic,ones,2,3,jacobi,1703,768,47.828125,1258.5826771653544,620.3341162692709,2,7.529999948019395e-05,0.03327679999983957,0.03335209999931976,368,0,1.3868394842897765e-09,True,0.0
128,1000.0,disconnected,centered,arithmetic,dipole_y,2,4,amg0,1703,768,47.828125,1258.5826771653544,620.3341162692709,2,0.024656399999912537,0.025274800000261166,0.0499312000001737,16,0,3.2650207644061e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,random,2,5,jacobi,1703,768,47.828125,1258.5826771653544,620.3341162692709,2,7.60000002628658e-05,0.05887410000013915,0.05895010000040202,635,0,9.28053873396141e-10,True,0.0
128,1000.0,disconnected,centered,arithmetic,random,2,6,amg0,1703,768,47.828125,1258.5826771653544,620.3341162692709,2,0.023085599999831175,0.022332100000312494,0.04541770000014367,14,0,7.460319576713968e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,dipole_x,2,7,amg0,1703,768,47.828125,1258.5826771653544,620.3341162692709,2,0.02405830000043352,0.025290100000347593,0.04934840000078111,16,0,1.9376056243259642e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,random,3,0,amg0,1704,768,47.828125,1258.5826771653544,620.3341162692709,2,0.023228500000186614,0.023006500000519736,0.04623500000070635,14,0,7.462395108537623e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,ones,3,1,amg0,1704,768,47.828125,1258.5826771653544,620.3341162692709,2,0.029323300000214658,0.027425899999798276,0.056749200000012934,16,0,4.156501620483114e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,dipole_x,3,2,jacobi,1704,768,47.828125,1258.5826771653544,620.3341162692709,2,0.00012729999980365392,0.026726299999609182,0.026853599999412836,267,0,9.90014285829128e-10,True,0.0
128,1000.0,disconnected,centered,arithmetic,ones,3,3,jacobi,1704,768,47.828125,1258.5826771653544,620.3341162692709,2,0.00010159999965253519,0.03526549999969575,0.035367099999348284,368,0,1.3868394842897765e-09,True,0.0
128,1000.0,disconnected,centered,arithmetic,random,3,4,jacobi,1704,768,47.828125,1258.5826771653544,620.3341162692709,2,7.470000036846614e-05,0.05345060000036028,0.05352530000072875,635,0,9.28053873396141e-10,True,0.0
128,1000.0,disconnected,centered,arithmetic,dipole_x,3,5,amg0,1704,768,47.828125,1258.5826771653544,620.3341162692709,2,0.022903199999745993,0.025016499999765074,0.04791969999951107,16,0,1.9383945874772085e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,dipole_y,3,6,amg0,1704,768,47.828125,1258.5826771653544,620.3341162692709,2,0.021991000000525673,0.026280099999894446,0.04827110000042012,16,0,3.307134096662427e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,dipole_y,3,7,jacobi,1704,768,47.828125,1258.5826771653544,620.3341162692709,2,9.069999941857532e-05,0.036168800000268675,0.03625949999968725,327,0,9.968340188268084e-10,True,0.0
128,1000.0,disconnected,centered,arithmetic,dipole_y,4,0,jacobi,1705,768,47.828125,1258.5826771653544,620.3341162692709,2,0.00010889999975915998,0.0333584999998493,0.03346739999960846,327,0,9.968340188268084e-10,True,0.0
128,1000.0,disconnected,centered,arithmetic,ones,4,1,amg0,1705,768,47.828125,1258.5826771653544,620.3341162692709,2,0.02856049999991228,0.02649239999936981,0.05505289999928209,16,0,4.04386074789788e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,random,4,2,amg0,1705,768,47.828125,1258.5826771653544,620.3341162692709,2,0.027586299999711628,0.021408399999927497,0.048994699999639124,14,0,7.45255342639742e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,dipole_x,4,3,jacobi,1705,768,47.828125,1258.5826771653544,620.3341162692709,2,8.649999927001772e-05,0.02830340000036813,0.028389899999638146,267,0,9.90014285829128e-10,True,0.0
